,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,46.0,103.0,155.0,572.0,659.0,797.0,882.0,1177.0,1703.0,2803.0,2878.0,3018.0
Episode reward,0.0,258.50015945926833,350.62318953885443,298.12036350320255,3886.240769815408,384.999284578366,1028.0142589347834,477.2006195454166,2602.7335719991315,4648.8052120256225,496.8850274660617,402.7908327185997,1005.5073547663409
Episode feedback,0.8,0.6590908941115706,0.4107142783801022,0.5294117543252598,0.25240384554710615,0.5930232489183344,0.510948901379935,0.6190476116780046,0.31972789006895275,0.22666666623492063,0.5757575699418428,0.5135135065741419,0.5971222978624295
total seconds,0.0,12.23188591003418,23.793370723724365,34.58356809616089,109.45484042167664,127.07135725021362,154.0418562889099,171.36324834823608,225.43125677108765,318.856107711792,563.8012986183167,578.9865052700043,608.2467045783997
total minutes,0.0,0.20386476516723634,0.39655617872873944,0.5763928016026815,1.8242473403612773,2.117855954170227,2.5673642714818317,2.8560541391372682,3.7571876128514607,5.3142684618631995,9.396688310305278,9.649775087833405,10.13744507630666
cummulative feedback,0.0,29.0,52.0,79.0,184.0,235.0,305.0,357.0,451.0,570.0,627.0,665.0,748.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
