,0,1,2,3,4,5,6,7
Accumulated time steps,0.0,39.0,102.0,375.0,468.0,546.0,587.0,691.0
Episode reward,0.0,201.83519274152698,508.4939663475928,1916.0304749349787,512.4525300589908,406.4606425198658,353.0997100599286,538.8977676218623
Episode feedback,0.8,0.7297297100073051,0.7419354719042666,0.5367647039089533,0.5652173851606807,0.5064934999156688,0.6999999825000005,0.5728155284192668
total seconds,0.0,8.95821762084961,21.84250783920288,72.16770577430725,89.89579939842224,104.9828736782074,113.68002319335938,133.75844860076904
total minutes,0.0,0.14930362701416017,0.364041797320048,1.2027950962384542,1.4982633233070373,1.7497145613034566,1.8946670532226562,2.2293074766794843
cummulative feedback,0.0,27.0,73.0,219.0,271.0,310.0,338.0,397.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
