,0,1,2,3,4,5,6,7
Accumulated time steps,0.0,51.0,96.0,1878.0,2008.0,2087.0,4225.0,4345.0
Episode reward,0.0,125.54261308566825,113.39565886600857,7244.735168638393,257.79883929971686,176.2450398450919,288.98582609880947,517.0893468319075
Episode feedback,0.8,0.5510203969179511,0.7045454385330583,0.25096030697700344,0.3100775169761433,0.3333333290598291,0.17518248047312057,0.13445378038274133
total seconds,0.0,10.66097617149353,19.824799299240112,321.74401473999023,344.56059765815735,359.05235266685486,723.3795280456543,744.0840983390808
total minutes,0.0,0.17768293619155884,0.3304133216540019,5.362400245666504,5.742676627635956,5.984205877780914,12.056325467427571,12.40140163898468
cummulative feedback,0.0,27.0,58.0,254.0,294.0,320.0,344.0,360.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
