,0,1,2,3,4,5,6
Accumulated time steps,0.0,52.0,272.0,366.0,614.0,724.0,825.0
Episode reward,0.0,213.25958232942455,1780.0946612059436,753.1885972019827,2234.2501805440747,360.9186342167181,503.50951891678534
Episode feedback,0.8,0.8599999828000003,0.4657534225308063,0.333333329749104,0.3441295532626334,0.5688073342311254,0.5599999944
total seconds,0.0,11.801134824752808,52.44900918006897,69.8336992263794,114.29438495635986,135.84132862091064,155.4597544670105
total minutes,0.0,0.1966855804125468,0.8741501530011495,1.1638949871063233,1.904906415939331,2.264022143681844,2.5909959077835083
cummulative feedback,0.0,43.0,145.0,176.0,261.0,323.0,379.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
