,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,47.0,103.0,156.0,203.0,333.0,394.0,473.0,676.0,770.0,833.0,896.0,1364.0,1469.0,1526.0,1845.0,1973.0,2030.0,2408.0,2557.0,2840.0,2959.0,3043.0,3197.0,3299.0,3899.0,5437.0,5924.0,6363.0,8162.0
Episode reward,0.0,253.49661232717563,292.5363417494367,298.56245309398446,274.8655238228722,1012.1454743038873,302.3462696937691,457.6045202332329,1768.2448125943358,609.0477562296035,325.7964111191993,341.0046547195399,4183.585762539305,514.2127979965478,289.4247910029099,2765.66478288237,585.313386923687,316.2980564718506,2819.4593419843313,645.3987849771225,2395.122661204537,671.7203159167017,425.32155118392666,1077.7191076259207,487.6016198425696,2139.7788254248285,3473.1068683785657,1945.6322880251064,2748.6809886969677,3504.641398977587
Episode feedback,0.8,0.6666666518518523,0.5090908998347109,0.4615384526627221,0.47826085916824224,0.6046511581034794,0.6833333219444446,0.42307691765286004,0.4009900970248015,0.37634408197479485,0.29032257596253913,0.38709676795005216,0.2612419694620086,0.33653845830251483,0.3571428507653063,0.25786163440924015,0.29921259606919215,0.30357142315051033,0.25729442902574423,0.23648648488860483,0.16666666607565012,0.21186440498419995,0.19277108201480625,0.1764705870818916,0.14851485001470446,0.1869782968497858,0.07262569818877897,0.05967078177022473,0.05251141540522508,0.021303258118667595
total seconds,0.0,10.768815755844116,24.642269134521484,37.678715467453,49.69859480857849,78.04369807243347,93.28017044067383,111.01114654541016,151.33819437026978,171.64881539344788,186.0798990726471,200.78418111801147,286.274542093277,308.38759899139404,322.0292418003082,381.3725414276123,407.43099999427795,420.85439801216125,490.40356850624084,519.755875825882,571.2996542453766,595.0973663330078,612.9159150123596,642.5540850162506,663.008739233017,770.1353149414062,1032.9231040477753,1116.8770678043365,1193.166584968567,1395.9469439983368
total minutes,0.0,0.17948026259740193,0.41070448557535805,0.6279785911242167,0.8283099134763082,1.3007283012072246,1.5546695073445638,1.8501857757568358,2.522303239504496,2.860813589890798,3.101331651210785,3.3464030186335245,4.771242368221283,5.139793316523234,5.367154030005137,6.3562090237935385,6.790516666571299,7.014239966869354,8.173392808437347,8.662597930431366,9.52166090408961,9.918289438883464,10.215265250205993,10.709234750270843,11.050145653883616,12.83558858235677,17.215385067462922,18.614617796738944,19.886109749476116,23.26578239997228
cummulative feedback,0.0,30.0,58.0,82.0,104.0,182.0,223.0,256.0,337.0,372.0,390.0,414.0,536.0,571.0,591.0,673.0,711.0,728.0,825.0,860.0,907.0,932.0,948.0,975.0,990.0,1102.0,1141.0,1170.0,1193.0,1210.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
