,0,1,2,3,4,5,6
Accumulated time steps,0.0,43.0,80.0,197.0,271.0,409.0,567.0
Episode reward,0.0,258.9812736415646,222.17029785413692,983.2901221150051,349.78189170902243,1100.738930367589,1123.10732007834
Episode feedback,0.8,0.4634146228435458,0.33333332407407434,0.413793099881094,0.46575341827735045,0.42335766114337475,0.4267515896385249
total seconds,0.0,9.162391424179077,16.450671672821045,38.74116039276123,53.42292308807373,79.64807033538818,112.93479824066162
total minutes,0.0,0.15270652373631796,0.2741778612136841,0.6456860065460205,0.8903820514678955,1.3274678389231365,1.8822466373443603
cummulative feedback,0.0,19.0,31.0,79.0,113.0,171.0,238.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
