,0,1,2,3,4,5,6
Accumulated time steps,0.0,52.0,105.0,393.0,471.0,530.0,620.0
Episode reward,0.0,291.9987286482662,280.29188995630795,2621.497830697286,378.2679912772488,321.3295792191351,570.9236438521237
Episode feedback,0.8,0.6999999860000004,0.6730769101331364,0.33797909289902756,0.40259739736886496,0.4999999913793105,0.4831460619871229
total seconds,0.0,13.449081420898438,25.654398202896118,77.44571590423584,92.83513951301575,104.36761021614075,120.71256685256958
total minutes,0.0,0.22415135701497396,0.427573303381602,1.290761931737264,1.547252325216929,1.7394601702690125,2.011876114209493
cummulative feedback,0.0,35.0,70.0,167.0,198.0,227.0,270.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
