,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9420.0,10028.0,10408.0,11322.0,11577.0,11814.0
Episode reward,0.0,-67.85214047032704,-73.57956014668241,-72.9116954613232,-75.56304068846414,-71.54679787731827,-71.67892718428611,-59.9877236794105,-55.58565127794028,-51.03499744633626,76.1239641898195,66.89223056390858,81.12659516958891,50.64387843315942,85.66116644425055,87.0452200007909
Episode feedback,0.8,0.0150300601051803,0.09819639268717796,0.14328657300271885,0.12424849686949048,0.03907815627346878,0.05310621237163706,0.027054108189324542,0.007014028049084141,0.0050100200350601,0.007025761107668007,0.004942339365828106,0.0026385224204788327,0.0032858707521512915,0.003937007858515717,0.008474576235277219
total seconds,0.0,45.2177472114563,102.75389218330383,163.56021881103516,223.29635190963745,277.1841285228729,332.0174241065979,385.0748128890991,436.59433126449585,487.97414660453796,510.7651138305664,542.2151916027069,562.5450809001923,609.4355359077454,623.355288028717,636.4507040977478
total minutes,0.0,0.7536291201909383,1.7125648697217306,2.726003646850586,3.7216058651606243,4.619735475381216,5.533623735109965,6.417913548151652,7.276572187741597,8.132902443408966,8.512751897176107,9.036919860045115,9.375751348336538,10.157258931795756,10.389254800478618,10.607511734962463
cummulative feedback,0.0,15.0,113.0,256.0,380.0,419.0,472.0,499.0,506.0,511.0,514.0,517.0,518.0,521.0,522.0,524.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,427.0,607.0,379.0,913.0,254.0,236.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
