,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Accumulated time steps,0.0,842.0,1248.0,1404.0,1850.0,2223.0,2485.0,2639.0,2809.0,3363.0,3815.0,4172.0,4335.0,4702.0,5053.0,5381.0,5912.0,6066.0,6327.0,6581.0,6731.0,6877.0,7137.0,7380.0,7635.0,7779.0,7936.0,8089.0,8247.0,8401.0,8658.0,8995.0,9279.0,9528.0,9879.0,10241.0,10391.0,10541.0,10690.0,11043.0,11194.0,11356.0,11521.0,11670.0,12001.0
Episode reward,0.0,57.301534812134676,75.35510270493151,89.57242563248931,74.7885972609374,78.18909394832708,84.25379196789606,91.33420962207589,89.62893490140848,68.83804220123548,72.4540722492373,79.29242424090032,90.03287210531911,77.16727291186646,79.56678451711805,83.13120248585554,74.92704192325508,91.5444867362589,85.23443351985628,86.64102384772825,91.20886047841105,91.46216551994678,84.82679470990831,86.94150955309718,86.10006407574777,92.25775423585709,90.80635722690458,90.82791009935936,90.79398720255617,90.21815709511877,85.39168636930906,79.00863198973967,82.6027044302779,84.74087032029738,78.37797448676082,77.19650226280433,91.04712627982305,90.89726361953129,90.44904156869359,80.33785487386015,91.3430074879857,90.44789004288417,90.64905524898829,90.61458173903252,83.6589132269175
Episode feedback,0.8,0.30476190439909295,0.19259259211705532,0.12903225723204995,0.11685393232167655,0.1317204297534397,0.11877394590508067,0.13725490106369345,0.07692307646791079,0.09222423129796703,0.04878048769671732,0.058988763879245044,0.012345678936137784,0.027322404296933323,0.03999999988571429,0.03363914362801485,0.028301886739053043,0.03921568601819813,0.015384615325443787,0.03557312238903904,0.013422818701860278,0.020689655029726518,0.01544401538438604,0.016528925551533364,0.019685039292578584,0.0,0.006410256369165024,0.006578947325138505,0.01273885342204552,0.013071895339399377,0.0,0.0,0.007067137784215061,0.004032258048257024,0.0,0.0027700830948197146,0.0,0.0,0.0,0.0028409090828383264,0.0066666666222222224,0.01242236017128969,0.0,0.0,0.0030303030211202937
total seconds,0.0,58.70890164375305,85.5002076625824,95.6925904750824,122.7148642539978,145.93819212913513,162.09452295303345,172.30058526992798,182.77178764343262,215.21818661689758,240.28986477851868,260.7242319583893,270.02366852760315,290.0538537502289,309.7161195278168,327.99311566352844,356.5049340724945,365.7523651123047,380.1680986881256,394.61508297920227,403.310555934906,411.8493151664734,426.0799078941345,439.575804233551,453.8924443721771,462.0921084880829,471.1264145374298,479.75974202156067,488.7368223667145,497.70105838775635,511.6352231502533,529.5758018493652,544.9338228702545,558.4611806869507,577.0715782642365,599.5510940551758,608.081627368927,616.6053187847137,625.0727481842041,644.0093131065369,652.7273252010345,662.0197486877441,671.3791410923004,679.6178863048553,697.4317917823792
total minutes,0.0,0.9784816940625508,1.42500346104304,1.59487650791804,2.0452477375666303,2.4323032021522524,2.7015753825505575,2.8716764211654664,3.046196460723877,3.586969776948293,4.004831079641978,4.345403865973155,4.500394475460053,4.834230895837148,5.161935325463613,5.466551927725474,5.941748901208242,6.095872751871744,6.336134978135427,6.576918049653371,6.7218425989151,6.864155252774556,7.1013317982355755,7.326263403892517,7.564874072869618,7.701535141468048,7.852106908957164,7.9959957003593445,8.145613706111908,8.295017639795939,8.527253719170888,8.826263364156087,9.082230381170909,9.307686344782512,9.617859637737274,9.99251823425293,10.134693789482117,10.276755313078562,10.417879136403402,10.733488551775615,10.878788753350575,11.033662478129068,11.18965235153834,11.326964771747589,11.623863196372985
cummulative feedback,0.0,256.0,334.0,354.0,406.0,455.0,486.0,507.0,520.0,571.0,593.0,614.0,616.0,626.0,640.0,651.0,666.0,672.0,676.0,685.0,687.0,690.0,694.0,698.0,703.0,703.0,704.0,705.0,707.0,709.0,709.0,709.0,711.0,712.0,712.0,713.0,713.0,713.0,713.0,714.0,715.0,717.0,717.0,717.0,718.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,840.0,405.0,155.0,445.0,372.0,261.0,153.0,169.0,553.0,451.0,356.0,162.0,366.0,350.0,327.0,530.0,153.0,260.0,253.0,149.0,145.0,259.0,242.0,254.0,143.0,156.0,152.0,157.0,153.0,256.0,336.0,283.0,248.0,350.0,361.0,149.0,149.0,148.0,352.0,150.0,161.0,164.0,148.0,330.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
