,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Accumulated time steps,0.0,858.0,1377.0,1535.0,1880.0,2426.0,2685.0,2850.0,3098.0,3261.0,3449.0,3603.0,3761.0,4046.0,4306.0,4563.0,5008.0,5269.0,5431.0,5691.0,5950.0,6127.0,6384.0,6667.0,6942.0,7249.0,7415.0,7569.0,7835.0,8097.0,8353.0,8751.0,9144.0,9304.0,9577.0,9846.0,10114.0,10395.0,10668.0,10928.0,11084.0,11384.0,11537.0,11688.0
Episode reward,0.0,50.30608085083768,67.79213359038602,90.8013797796438,81.7821315491453,68.93630055865452,86.31991406751978,90.35215049079204,86.62821187695954,90.71054661925047,88.55462888961902,91.67805936444063,91.5804583002477,83.4042592251075,84.97258856258419,85.84528801809401,74.78608810530345,87.5191364659857,90.98529722718752,84.46366246989014,85.77857379598555,88.95582968178918,86.62306351389324,83.7674469707414,86.45209289516588,81.25845924467369,91.52282556698441,91.93048028014871,86.12159502358912,86.04073788815285,86.44226796618685,77.45263556004957,83.31814337645784,91.03411711499817,84.48043994874605,84.72539043902142,85.12562770622334,84.3806443463335,87.20388734037613,86.60478706697103,91.45260911742787,85.25702586755371,91.49502580658539,92.8830254365984
Episode feedback,0.8,0.2546728968987466,0.2374517369933364,0.1464968143535235,0.13953488331530559,0.10091743100749095,0.09302325545339823,0.11585365783016062,0.09716599150944943,0.0740740736168267,0.053475935542909435,0.06535947669699689,0.05732484039920484,0.049295774474310654,0.06949806922973718,0.05859374977111816,0.06531531516820875,0.04230769214497042,0.03105590042822422,0.023166023076579063,0.02325581386334956,0.017045454448605373,0.0351562498626709,0.014184397112821287,0.007299270046353029,0.013071895382117988,0.01212121204775023,0.0,0.018867924457102173,0.019157088049206558,0.00392156861207228,0.020151133450500923,0.015306122409933362,0.012578616273090464,0.011029411724156574,0.0074626865393183335,0.007490636676065031,0.007142857117346939,0.0,0.00772200769219302,0.0,0.0,0.006578947325138505,0.0
total seconds,0.0,55.801069021224976,91.19312024116516,101.6734733581543,123.2150285243988,155.50316309928894,170.98542380332947,181.5344259738922,196.622243642807,206.7212474346161,217.7897493839264,227.2452917098999,236.69861507415771,252.94855046272278,268.21308183670044,283.21265935897827,309.2297854423523,324.105774641037,333.65066289901733,348.1478033065796,362.42642974853516,372.4314646720886,387.00477838516235,402.4510507583618,417.40781593322754,433.8703844547272,443.4367389678955,452.1484558582306,466.8854269981384,481.43151664733887,495.06481075286865,516.54332280159,537.7368957996368,546.9316556453705,561.6701014041901,576.2869057655334,590.951651096344,606.2025144100189,620.7846095561981,634.8698813915253,643.7188215255737,659.8183686733246,668.5973379611969,677.1830539703369
total minutes,0.0,0.9300178170204163,1.5198853373527528,1.6945578893025717,2.05358380873998,2.591719384988149,2.8497570633888243,3.025573766231537,3.2770373940467836,3.4453541239102683,3.629829156398773,3.787421528498332,3.9449769179026286,4.215809174378713,4.470218030611674,4.720210989316304,5.153829757372538,5.40176291068395,5.560844381650289,5.802463388442993,6.0404404958089195,6.207191077868144,6.450079639752706,6.707517512639364,6.956796932220459,7.2311730742454525,7.390612316131592,7.535807597637176,7.781423783302307,8.02385861078898,8.251080179214478,8.609055380026499,8.962281596660613,9.115527594089508,9.361168356736501,9.604781762758892,9.849194184939067,10.103375240166981,10.346410159269968,10.581164689858754,10.728647025426229,10.996972811222076,11.143288966019949,11.286384232838948
cummulative feedback,0.0,218.0,341.0,364.0,412.0,467.0,491.0,510.0,534.0,546.0,556.0,566.0,575.0,589.0,607.0,622.0,651.0,662.0,667.0,673.0,679.0,682.0,691.0,695.0,697.0,701.0,703.0,703.0,708.0,713.0,714.0,722.0,728.0,730.0,733.0,735.0,737.0,739.0,739.0,741.0,741.0,741.0,742.0,742.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,856.0,518.0,157.0,344.0,545.0,258.0,164.0,247.0,162.0,187.0,153.0,157.0,284.0,259.0,256.0,444.0,260.0,161.0,259.0,258.0,176.0,256.0,282.0,274.0,306.0,165.0,153.0,265.0,261.0,255.0,397.0,392.0,159.0,272.0,268.0,267.0,280.0,272.0,259.0,155.0,299.0,152.0,150.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
