,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3982.0,4454.0,4818.0,5262.0,5799.0,6058.0,6330.0,6679.0,6863.0,7225.0,7576.0,7827.0,7979.0,8427.0,8683.0,8949.0,9223.0,9554.0,9827.0,9983.0,10237.0,10495.0,10753.0,10910.0,11174.0,11524.0,11858.0
Episode reward,0.0,-68.99925744944584,-66.08616526769595,-64.97873104478688,37.55234606738282,65.41630267096363,80.92412750420235,78.27279603850874,70.84516889031791,85.54634303773464,85.8525598798119,80.62101934991196,88.39079730524575,80.40990015190829,81.64403982128961,86.01510802731835,91.72395892911759,74.48713565766623,87.34105347891128,85.6725836416894,83.73527393665498,83.44424100861748,82.63551878801866,91.64145210545644,86.31855986238546,86.85445188233378,86.3834460487775,90.73457772659154,84.89882519231723,80.40193197746068,81.43201198641687
Episode feedback,0.8,0.007014028049084141,0.07114228449785343,0.10120240470821402,0.1139369276562188,0.09341825882501431,0.06611570229720193,0.04288939042237158,0.02238805965972377,0.019379844886124632,0.029520295094021053,0.020114942470934073,0.016393442533369166,0.011080332379278858,0.017142857093877552,0.007999999968,0.0,0.0067114093809588155,0.00784313722414456,0.0,0.01465201459834427,0.0030303030211202937,0.0073529411494377165,0.0,0.0039525691543376715,0.0,0.003891050568517313,0.0,0.0,0.0,0.006006005987969952
total seconds,0.0,45.283801317214966,101.35567903518677,159.72048163414001,216.9031343460083,244.73159193992615,265.4655282497406,290.107168674469,318.8493287563324,333.2719466686249,348.478577375412,367.463791847229,377.7315511703491,397.16340732574463,416.2243506908417,430.02441453933716,438.5576775074005,462.35881066322327,476.3907458782196,490.7562780380249,505.5525679588318,523.2538652420044,538.0625660419464,546.9708352088928,560.78444647789,574.6271963119507,588.7158639431,597.5864269733429,611.8857614994049,630.3125216960907,648.1990175247192
total minutes,0.0,0.7547300219535827,1.6892613172531128,2.6620080272356668,3.6150522391001383,4.078859865665436,4.42442547082901,4.835119477907816,5.314155479272206,5.554532444477081,5.8079762895902,6.12439653078715,6.295525852839152,6.619390122095743,6.937072511514028,7.167073575655619,7.309294625123342,7.705980177720388,7.939845764636994,8.179271300633749,8.425876132647197,8.720897754033407,8.96770943403244,9.116180586814881,9.346407441298167,9.577119938532512,9.811931065718333,9.959773782889048,10.198096024990082,10.505208694934845,10.80331695874532
cummulative feedback,0.0,7.0,78.0,179.0,291.0,335.0,359.0,378.0,390.0,395.0,403.0,410.0,413.0,417.0,423.0,425.0,425.0,428.0,430.0,430.0,434.0,435.0,437.0,437.0,438.0,438.0,439.0,439.0,439.0,439.0,441.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,983.0,471.0,363.0,443.0,536.0,258.0,271.0,348.0,183.0,361.0,350.0,250.0,151.0,447.0,255.0,265.0,273.0,330.0,272.0,155.0,253.0,257.0,257.0,156.0,263.0,349.0,333.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
