,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Accumulated time steps,0.0,1000.0,1357.0,1615.0,2614.0,2885.0,3161.0,3428.0,3695.0,3850.0,4213.0,4496.0,4677.0,4859.0,5118.0,5388.0,5646.0,5804.0,6172.0,6337.0,6599.0,6863.0,7124.0,7562.0,7821.0,7976.0,8237.0,8614.0,8771.0,9105.0,9280.0,9528.0,9776.0,10065.0,10218.0,10570.0,10834.0,11107.0,11379.0,11531.0,11828.0,11980.0
Episode reward,0.0,-60.98115596457608,78.15269480545689,84.74665960263984,-57.24046817926742,85.47188735218924,85.24352054116734,86.10725604754712,85.04120460680392,91.37284372584703,79.54774514110548,83.1741556756721,88.82746594226734,88.66013262803735,85.77965411377014,84.5878467467222,87.19224375557711,91.66604609497921,81.29661042803536,91.29145372099485,86.70593982224523,86.31331845220036,86.42017116096827,75.64973661960337,86.38921828026128,91.48286166987255,86.75814958747503,79.73334711836006,90.6534774456659,78.11936811167979,88.46908035525301,84.99690671548058,85.30053823825452,82.03914365489506,92.04517626812908,80.13768849155625,85.68514035171697,85.16589091751413,85.43772822407904,91.07334682501198,80.88640420846048,91.0857356652622
Episode feedback,0.8,0.22745490959172854,0.24999999929775282,0.2373540846795561,0.09619238467315393,0.09629629593964335,0.11999999956363637,0.10526315749901069,0.07894736812425801,0.05844155806206781,0.08011049701626935,0.06028368772949047,0.06666666629629629,0.06077348032721834,0.05426356568114897,0.05947955368223214,0.031128404548138505,0.01910828013306828,0.02724795632902464,0.006097560938429507,0.02298850565904787,0.015209125417455798,0.007692307662721894,0.013729977085286093,0.015503875908899706,0.012987012902681734,0.015384615325443787,0.00797872338303531,0.006410256369165024,0.006006005987969952,0.0,0.004048582979560393,0.0,0.003472222210165895,0.0,0.0028490028408860316,0.0,0.0036764705747188583,0.0,0.0,0.003378378366964938,0.0
total seconds,0.0,63.99473810195923,88.85090231895447,106.98256230354309,164.61171793937683,180.94837737083435,198.11672163009644,214.33809757232666,230.1751606464386,239.5840449333191,260.95691108703613,277.18158316612244,288.13479113578796,299.04032826423645,314.12419176101685,329.7012345790863,344.10283160209656,353.2349739074707,373.4862825870514,382.835782289505,397.4424123764038,411.82317304611206,426.06497597694397,449.456063747406,463.8136148452759,472.59905099868774,486.95401668548584,507.1303324699402,516.1191034317017,533.8837673664093,543.6533980369568,557.2420475482941,570.7203738689423,586.348878622055,594.9485671520233,613.7128129005432,628.0665874481201,642.8110158443451,657.5367438793182,666.0410058498383,682.0595700740814,690.6879191398621
total minutes,0.0,1.0665789683659872,1.4808483719825745,1.7830427050590516,2.7435286323229473,3.0158062895139057,3.301945360501607,3.5723016262054443,3.836252677440643,3.993067415555318,4.349281851450602,4.6196930527687075,4.8022465189298,4.984005471070607,5.235403196016947,5.4950205763181055,5.735047193368276,5.887249565124511,6.224771376450857,6.38059637149175,6.6240402062733965,6.8637195507685345,7.101082932949066,7.4909343957901005,7.730226914087932,7.876650849978129,8.11590027809143,8.452172207832337,8.601985057195028,8.898062789440155,9.060889967282613,9.287367459138235,9.512006231149037,9.772481310367585,9.915809452533722,10.22854688167572,10.467776457468668,10.713516930739084,10.95894573132197,11.100683430830637,11.36765950123469,11.5114653189977
cummulative feedback,0.0,227.0,316.0,377.0,473.0,499.0,532.0,560.0,581.0,590.0,619.0,636.0,648.0,659.0,673.0,689.0,697.0,700.0,710.0,711.0,717.0,721.0,723.0,729.0,733.0,735.0,739.0,742.0,743.0,745.0,745.0,746.0,746.0,747.0,747.0,748.0,748.0,749.0,749.0,749.0,750.0,750.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,356.0,257.0,998.0,270.0,275.0,266.0,266.0,154.0,362.0,282.0,180.0,181.0,258.0,269.0,257.0,157.0,367.0,164.0,261.0,263.0,260.0,437.0,258.0,154.0,260.0,376.0,156.0,333.0,174.0,247.0,247.0,288.0,152.0,351.0,263.0,272.0,271.0,151.0,296.0,151.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
