,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Accumulated time steps,0.0,587.0,1210.0,1317.0,1794.0,2793.0,3792.0,4134.0,5133.0,6132.0,7131.0,7220.0,8219.0,9218.0,10217.0,11216.0
Episode reward,0.0,61.17860273131794,50.92527703689605,92.61204090782833,57.360227649969616,-96.4866781420352,-97.48367069403523,66.49670900604613,-99.36420668752721,-97.75239408187073,-99.7379158804172,93.00718471754219,-99.54330470724813,-99.56087666847066,-99.74419030003304,-99.80020271918092
Episode feedback,0.8,0.26495726450434653,0.2620578773921899,0.4245282978818085,0.33403361274362686,0.17735470924112753,0.11322645279235827,0.14662756555241183,0.050100200350601004,0.04408817630852888,0.04408817630852888,0.02272727246900827,0.01903807613322838,0.014028056098168281,0.0060120240420721205,0.00400801602804808
total seconds,0.0,38.118372440338135,81.3114173412323,90.73451209068298,127.10977411270142,190.14150285720825,249.0077850818634,270.70917892456055,325.32017755508423,379.3894944190979,433.35863876342773,438.91574144363403,491.2447109222412,543.5770411491394,595.0650045871735,646.3984968662262
total minutes,0.0,0.6353062073389689,1.3551902890205383,1.5122418681780496,2.11849623521169,3.1690250476201376,4.15012975136439,4.511819648742676,5.422002959251404,6.323158240318298,7.222643979390463,7.315262357393901,8.18741184870402,9.059617352485656,9.917750076452892,10.77330828110377
cummulative feedback,0.0,155.0,318.0,363.0,522.0,699.0,812.0,862.0,912.0,956.0,1000.0,1002.0,1021.0,1035.0,1041.0,1045.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,585.0,622.0,106.0,476.0,998.0,998.0,341.0,998.0,998.0,998.0,88.0,998.0,998.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
