,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accumulated time steps,0.0,1000.0,1337.0,1602.0,2158.0,2562.0,2724.0,3008.0,3170.0,3331.0,3595.0,3955.0,4496.0,4754.0,5038.0,5300.0,5830.0,6079.0,6530.0,6829.0,7090.0,7436.0,7710.0,7871.0,8203.0,8567.0,8751.0,8921.0,9283.0,9561.0,9731.0,9983.0,10387.0,10662.0,10946.0,11115.0,11267.0,11538.0,11787.0,11949.0
Episode reward,0.0,-58.18464690360857,81.66321138816407,85.57038390588387,70.1998747642012,76.24933800611126,90.05405883157775,84.1257447061669,90.96738691108754,91.04662710413538,85.10807270392034,82.31717278908152,73.6046887524362,86.45893822514583,86.01680417369113,87.21506324151554,75.85571782263264,87.58888675524766,77.52253565771623,86.60129605331504,87.96669510242674,80.47917565265483,84.1224740655186,91.76192367912384,84.54770581296494,81.59924820521448,90.06255845583753,91.57697753231416,82.60529558086003,85.45643823030156,90.92179133734302,90.6438223762614,81.74009146602863,86.80785123496821,87.3834434460311,91.02450549228797,92.28115776482299,88.32280705258972,89.23886920198304,91.74369056366413
Episode feedback,0.8,0.3296593183069546,0.21428571364795918,0.19696969622359964,0.12432432410031653,0.12655086817233036,0.08074534111338298,0.06713780895004308,0.09316770128467267,0.112499999296875,0.09125475250473478,0.09470752062755565,0.0574074073010974,0.05058365739072507,0.04593639559739789,0.038314176098413116,0.04725897911671271,0.02016129024128512,0.026666666607407408,0.016778523433629115,0.01153846149408284,0.017391304297416508,0.0036630036495860674,0.0312499998046875,0.009063444081379324,0.00550964185810016,0.010928961688912778,0.01183431945660166,0.011080332379278858,0.0,0.00591715972830083,0.003984063729147156,0.004962779144012955,0.0036496350231765146,0.0035335688921075306,0.0,0.0,0.0037037036899862825,0.0,0.0
total seconds,0.0,70.78244352340698,93.63322448730469,111.43868374824524,144.8917624950409,169.68393468856812,179.7527735233307,196.1796841621399,206.36787271499634,216.6924488544464,232.53665137290955,253.86776447296143,284.17576575279236,299.1002402305603,315.18484258651733,329.9830629825592,359.30081057548523,373.1565923690796,397.4571681022644,413.85311484336853,428.17764544487,447.05588698387146,462.05333042144775,471.8051645755768,490.1312553882599,509.39962553977966,519.7151038646698,529.3794748783112,548.9004406929016,563.8978936672211,573.3945553302765,587.0058250427246,608.4556481838226,623.4107890129089,638.6202301979065,648.0003232955933,656.6510384082794,671.3531925678253,684.9225058555603,694.0318460464478
total minutes,0.0,1.179707392056783,1.560553741455078,1.8573113958040872,2.4148627082506815,2.828065578142802,2.9958795587221783,3.2696614027023316,3.439464545249939,3.6115408142407737,3.875610856215159,4.23112940788269,4.73626276254654,4.985004003842672,5.253080709775289,5.4997177163759865,5.988346842924754,6.219276539484659,6.62428613503774,6.897551914056142,7.136294090747834,7.450931449731191,7.700888840357463,7.863419409592947,8.168854256470999,8.489993758996327,8.661918397744497,8.822991247971853,9.148340678215027,9.398298227787018,9.556575922171275,9.783430417378744,10.140927469730377,10.390179816881815,10.643670503298441,10.800005388259887,10.944183973471324,11.189219876130421,11.41537509759267,11.567197434107463
cummulative feedback,0.0,329.0,401.0,453.0,522.0,573.0,586.0,605.0,620.0,638.0,662.0,696.0,727.0,740.0,753.0,763.0,788.0,793.0,805.0,810.0,813.0,819.0,820.0,825.0,828.0,830.0,832.0,834.0,838.0,838.0,839.0,840.0,842.0,843.0,844.0,844.0,844.0,845.0,845.0,845.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,336.0,264.0,555.0,403.0,161.0,283.0,161.0,160.0,263.0,359.0,540.0,257.0,283.0,261.0,529.0,248.0,450.0,298.0,260.0,345.0,273.0,160.0,331.0,363.0,183.0,169.0,361.0,277.0,169.0,251.0,403.0,274.0,283.0,168.0,151.0,270.0,248.0,161.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
