,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3663.0,3930.0,4502.0,4863.0,5129.0,5595.0,6355.0,6815.0,7396.0,7643.0,7979.0,8240.0,8494.0,8642.0,8904.0,9050.0,9233.0,9390.0,9641.0,9787.0,10029.0,10279.0,10515.0,10868.0,11047.0,11304.0,11463.0,11634.0,11889.0
Episode reward,0.0,-67.10985980620086,-68.11672184478839,-65.43840994412591,61.499353646970214,85.33389349909672,67.5981681204535,79.65950858641229,84.44943656292878,72.07528852851429,56.39221545366964,71.8567984469727,64.36226772768467,84.52360001137308,81.94000358666324,84.73593687588131,85.70182002098,91.83817227108216,84.09207100514803,91.12252242606301,88.15171809079956,90.68403331859294,84.28348536450036,91.26479375510493,84.55433062136228,85.62751651337196,85.87578402406311,79.3298957961982,87.6201111408388,85.0299319432817,91.47018137275502,89.42981321800055,84.94094648663462
Episode feedback,0.8,0.00801603205609616,0.00200400801402404,0.10220440871522604,0.10692771068233778,0.04887218026739782,0.0385288966050282,0.038888888780864196,0.02641509423994304,0.01935483866805411,0.02371541498851724,0.017429193861810036,0.0,0.0040650406338819485,0.011940298471820005,0.003846153831360947,0.015810276617350686,0.00680272104215836,0.0,0.0,0.010989010928631809,0.01923076910749507,0.007999999968,0.0,0.0041493775761436615,0.0,0.004255319130828429,0.0028409090828383264,0.0,0.0,0.0,0.01176470581314879,0.0
total seconds,0.0,45.243990898132324,91.4393379688263,149.045179605484,188.1953160762787,203.597252368927,234.96808409690857,254.83109736442566,269.7409863471985,294.8090407848358,335.1448230743408,359.945111989975,390.09229946136475,403.60545563697815,421.86743688583374,436.1082272529602,450.07944798469543,458.6466507911682,472.7556526660919,481.0966868400574,491.4604141712189,500.54378843307495,514.2636377811432,522.5907335281372,535.8117790222168,549.4188449382782,562.3701915740967,580.9522392749786,590.9150593280792,604.950208902359,613.9614722728729,623.7270545959473,637.3432538509369
total minutes,0.0,0.7540665149688721,1.5239889661471049,2.484086326758067,3.1365886012713116,3.3932875394821167,3.9161347349484763,4.247184956073761,4.495683105786641,4.913484013080597,5.5857470512390135,5.999085199832916,6.501538324356079,6.726757593949636,7.031123948097229,7.268470454216003,7.501324133078257,7.64411084651947,7.879260877768199,8.018278114000957,8.191006902853648,8.342396473884582,8.57106062968572,8.709845558802288,8.930196317036946,9.156980748971304,9.372836526234945,9.682537321249644,9.848584322134654,10.082503481705983,10.232691204547882,10.395450909932455,10.622387564182281
cummulative feedback,0.0,8.0,10.0,112.0,183.0,196.0,218.0,232.0,239.0,248.0,266.0,274.0,274.0,275.0,279.0,280.0,284.0,285.0,285.0,285.0,287.0,290.0,292.0,292.0,293.0,293.0,294.0,295.0,295.0,295.0,295.0,297.0,297.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,664.0,266.0,571.0,360.0,265.0,465.0,759.0,459.0,580.0,246.0,335.0,260.0,253.0,147.0,261.0,145.0,182.0,156.0,250.0,145.0,241.0,249.0,235.0,352.0,178.0,256.0,158.0,170.0,254.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
