,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4550.0,5165.0,5980.0,6415.0,6734.0,6973.0,7224.0,7468.0,7816.0,8059.0,8893.0,9241.0,9429.0,9539.0,9842.0,10141.0,10303.0,10468.0,10735.0,11000.0,11441.0,11683.0,11990.0
Episode reward,0.0,-64.01130795435333,-61.12860414540055,-64.04881385332178,-67.70512295277723,62.63927109969929,63.14221290378909,51.757902428272956,77.98938064574759,85.29395157749069,87.62220814700983,87.37062127038965,86.15756797453807,80.84497620507719,87.77348180286779,58.957631737505736,78.90866517157339,85.77684210603323,92.98673131005874,79.74793056113654,81.00020975492052,90.56232258479329,91.76636935664743,88.34858442687162,85.18354223185477,82.37085006797706,88.80353265691272,86.49366797493693
Episode feedback,0.8,0.19338677335331986,0.2695390778862334,0.15430861707985108,0.14228456899570685,0.09057970998083385,0.05863192172861251,0.0466830466256965,0.023041474601286926,0.022012578547130256,0.033613445236918296,0.03999999984,0.01646090528205389,0.014409221860492157,0.008264462775766682,0.007202881143814069,0.0028818443720984312,0.0,0.009174311842437506,0.0,0.006711409373451646,0.018633540256934533,0.006097560938429507,0.0037593984821075246,0.003787878773530762,0.0022727272675619834,0.0041493775761436615,0.006535947691058994
total seconds,0.0,63.59545612335205,133.1244969367981,194.65372776985168,255.33639907836914,287.5274257659912,321.8429036140442,366.4413685798645,390.7721529006958,408.2942867279053,421.8550674915314,436.1397089958191,449.580762386322,468.48942494392395,481.9179952144623,524.9239122867584,543.6043953895569,553.9707777500153,560.5990183353424,576.5882523059845,592.9278366565704,602.3361639976501,611.7244234085083,626.2758159637451,640.4645278453827,663.7864983081818,677.0660095214844,693.5818929672241
total minutes,0.0,1.059924268722534,2.2187416156133017,3.2442287961641947,4.255606651306152,4.79212376276652,5.364048393567403,6.107356142997742,6.512869215011596,6.804904778798421,7.030917791525523,7.268995149930318,7.493012706438701,7.808157082398733,8.031966586907705,8.748731871445974,9.060073256492615,9.232846295833587,9.343316972255707,9.609804205099742,9.882130610942841,10.038936066627503,10.195407056808472,10.437930266062418,10.674408797423045,11.063108305136362,11.284433492024739,11.559698216120402
cummulative feedback,0.0,193.0,462.0,616.0,758.0,808.0,844.0,882.0,892.0,899.0,907.0,917.0,921.0,926.0,928.0,934.0,935.0,935.0,936.0,936.0,938.0,941.0,942.0,943.0,944.0,945.0,946.0,948.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,552.0,614.0,814.0,434.0,318.0,238.0,250.0,243.0,347.0,242.0,833.0,347.0,187.0,109.0,302.0,298.0,161.0,164.0,266.0,264.0,440.0,241.0,306.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
