,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Accumulated time steps,0.0,1000.0,1613.0,2266.0,2556.0,2918.0,3071.0,3223.0,3462.0,3708.0,3944.0,4201.0,4434.0,4581.0,4858.0,5095.0,5241.0,5475.0,5729.0,5964.0,6113.0,6270.0,6622.0,6981.0,7135.0,7281.0,7585.0,7943.0,8232.0,8375.0,8526.0,8777.0,9015.0,9263.0,9512.0,9662.0,9808.0,10046.0,10327.0,10576.0,10743.0,10993.0,11185.0,11348.0,11496.0,11651.0,11914.0
Episode reward,0.0,-63.66934598682861,65.1448165926243,60.79705452637075,81.56601204790864,78.88587700414338,91.58751509124176,89.8904365248393,84.30907115558993,85.78901767718506,87.05984546925202,85.75465678961785,84.84519204570707,90.448711814518,83.58210139528127,85.33457520550213,91.7083870086794,85.95426172143301,84.55645820911482,86.0882020698711,90.6047682587768,90.46204119436935,82.14148824187178,79.47446542732945,91.50463229143529,90.4633265155173,80.7820797416686,80.36063563589276,82.22676416758787,91.22707016320787,90.76275024964002,85.57909948041589,85.95744219053866,85.41909095917481,86.92449978975242,91.62739874971173,91.86927148014307,86.22778868328918,81.22726869900995,85.44001481262606,89.57688811106996,86.48202271943526,88.66587480702195,89.97137818298023,91.25137812029044,90.54680281149574,85.81588471524668
Episode feedback,0.8,0.1563126250938751,0.2189542480082447,0.07515337411786292,0.1280276812178973,0.09141274212905058,0.08552631522680056,0.07284768163677033,0.07142857112845138,0.08571428536443149,0.05957446783159801,0.062499999755859376,0.06034482732609988,0.03424657510790017,0.04347826071203529,0.07627118611749498,0.03448275838287753,0.03862660927628065,0.03162055323470137,0.021367521276207176,0.03378378355551498,0.012820512738330047,0.019943019886202222,0.01675977648949783,0.026143790678798753,0.0,0.013201320088444489,0.016806722641997975,0.017361111050829475,0.0,0.0,0.011999999952,0.0,0.0,0.012096774144771073,0.0,0.006896551676575506,0.0,0.0,0.008064516096514047,0.0,0.00401606424089934,0.0,0.006172839468068892,0.0,0.0,0.0
total seconds,0.0,59.08822798728943,99.97274589538574,136.9063594341278,154.94794869422913,176.4320809841156,185.90283966064453,195.32770347595215,209.6160900592804,224.35572934150696,238.27307963371277,253.25687980651855,266.84961771965027,275.6118543148041,291.3788585662842,305.5946328639984,314.0714120864868,327.48376727104187,341.7767367362976,354.89142751693726,363.742555141449,372.73558592796326,391.76286816596985,411.178994178772,420.17214941978455,428.5243730545044,444.86962485313416,464.32166624069214,480.22175788879395,488.39559412002563,496.99166798591614,510.65098786354065,523.5901381969452,537.0896809101105,550.8054552078247,559.3509485721588,567.7981202602386,580.7380790710449,595.8110592365265,609.5486516952515,618.9376142024994,632.4753758907318,643.0268619060516,652.2750859260559,660.6721377372742,669.5071341991425,683.6878328323364
total minutes,0.0,0.9848037997881571,1.6662124315897624,2.2817726572354635,2.5824658115704855,2.9405346830685932,3.0983806610107423,3.2554617245992024,3.4936015009880066,3.7392621556917827,3.971217993895213,4.220947996775309,4.447493628660838,4.593530905246735,4.85631430943807,5.09324388106664,5.23452353477478,5.4580627878506975,5.69627894560496,5.914857125282287,6.0623759190241495,6.2122597654660545,6.529381136099498,6.852983236312866,7.002869156996409,7.14207288424174,7.414493747552236,7.738694437344869,8.003695964813232,8.139926568667095,8.283194466431935,8.510849797725678,8.72650230328242,8.951494681835175,9.180090920130413,9.32251580953598,9.463302004337312,9.678967984517415,9.930184320608776,10.159144194920858,10.315626903374989,10.541256264845531,10.71711436510086,10.871251432100932,11.011202295621237,11.158452236652375,11.394797213872273
cummulative feedback,0.0,156.0,290.0,339.0,376.0,409.0,422.0,433.0,450.0,471.0,485.0,501.0,515.0,520.0,532.0,550.0,555.0,564.0,572.0,577.0,582.0,584.0,591.0,597.0,601.0,601.0,605.0,611.0,616.0,616.0,616.0,619.0,619.0,619.0,622.0,622.0,623.0,623.0,623.0,625.0,625.0,626.0,626.0,627.0,627.0,627.0,627.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,612.0,652.0,289.0,361.0,152.0,151.0,238.0,245.0,235.0,256.0,232.0,146.0,276.0,236.0,145.0,233.0,253.0,234.0,148.0,156.0,351.0,358.0,153.0,145.0,303.0,357.0,288.0,142.0,150.0,250.0,237.0,247.0,248.0,149.0,145.0,237.0,280.0,248.0,166.0,249.0,191.0,162.0,147.0,154.0,262.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
