,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Accumulated time steps,0.0,1000.0,1927.0,2193.0,2456.0,2806.0,3159.0,3376.0,3527.0,3683.0,4129.0,4474.0,4625.0,4779.0,5106.0,5354.0,5507.0,5654.0,5809.0,5985.0,6246.0,6498.0,6745.0,6895.0,7147.0,7478.0,7649.0,7800.0,8073.0,8250.0,8515.0,8670.0,8946.0,9095.0,9356.0,9521.0,9770.0,9919.0,10265.0,10526.0,10768.0,10968.0,11237.0,11404.0,11819.0
Episode reward,0.0,-66.942807732485,45.19174055215838,84.62820875931936,83.82178168629612,81.87873074251567,79.47004158622359,84.85175558311167,91.67048954881388,91.68018295755253,73.76123295050878,81.08704557954553,91.08884911237317,90.87694783750143,80.26881617965088,85.43781470263143,91.05180925454535,91.35972317528078,91.49472960044733,89.23125906212695,84.03545933914587,83.94754947658959,85.64943315648406,91.2435444818845,85.12719370196385,80.2754936809711,89.4703761005306,91.3506062785317,81.89219582291088,88.26226649938025,83.0487328031218,90.64496000406575,84.55903271520249,91.12554558347516,84.645291964407,89.38074608453854,84.88422797958984,91.21231734661185,77.54368723157494,83.86810302974382,85.45118722038004,85.0686556233263,84.07066935173948,91.58119975495597,77.60620797736026
Episode feedback,0.8,0.08617234460303372,0.25485961095587517,0.12452830141687433,0.11832061023541753,0.12893982771077414,0.09090909065082645,0.03703703686556927,0.07333333284444445,0.07741935433922997,0.04269662911753567,0.05232558124323959,0.02666666648888889,0.0588235290272972,0.0490797544506756,0.032388663836483145,0.02631578930055402,0.020547945064740104,0.012987012902681734,0.01714285704489796,0.019230769156804734,0.03187250983317725,0.0040650406338819485,0.020134228052790415,0.007968127458294312,0.01515151510560147,0.017647058719723184,0.013333333244444445,0.011029411724156574,0.0,0.003787878773530762,0.0,0.007272727246280992,0.0,0.003846153831360947,0.0,0.0,0.006756756711102995,0.0,0.0,0.0,0.0,0.0037313432696591668,0.0,0.0024154589313636256
total seconds,0.0,54.10638689994812,117.54547643661499,134.03893995285034,150.34032607078552,172.05176162719727,193.05946683883667,205.54134798049927,214.94005870819092,224.66486239433289,249.52713060379028,269.30831384658813,278.2352864742279,287.5855507850647,306.1094961166382,320.3526654243469,329.2278971672058,337.8561360836029,346.7791075706482,356.9225699901581,371.3668611049652,385.47826194763184,398.9703116416931,407.6918818950653,421.54556345939636,439.5725166797638,449.2677335739136,457.92291736602783,472.94513177871704,482.7848563194275,497.2608690261841,506.0526616573334,520.8767626285553,529.4092905521393,543.6630885601044,552.9926128387451,566.4915375709534,575.0644283294678,593.3469045162201,607.5031054019928,620.7356021404266,631.7814567089081,646.2177171707153,655.6426434516907,677.5523390769958
total minutes,0.0,0.9017731149991354,1.959091273943583,2.2339823325475057,2.505672101179759,2.867529360453288,3.217657780647278,3.425689133008321,3.582334311803182,3.7444143732388815,4.158785510063171,4.4884718974431355,4.637254774570465,4.793092513084412,5.101824935277303,5.339211090405782,5.4871316194534305,5.630935601393381,5.779651792844136,5.948709499835968,6.189447685082754,6.424637699127198,6.649505194028219,6.7948646982510885,7.025759390989939,7.326208611329396,7.487795559565226,7.6320486227671305,7.882418862978617,8.046414271990459,8.287681150436402,8.434211027622222,8.68127937714259,8.823488175868988,9.06105147600174,9.216543547312419,9.441525626182557,9.584407138824464,9.889115075270334,10.12505175669988,10.34559336900711,10.529690945148468,10.77029528617859,10.927377390861512,11.292538984616597
cummulative feedback,0.0,86.0,322.0,355.0,386.0,431.0,463.0,471.0,482.0,494.0,513.0,531.0,535.0,544.0,560.0,568.0,572.0,575.0,577.0,580.0,585.0,593.0,594.0,597.0,599.0,604.0,607.0,609.0,612.0,612.0,613.0,613.0,615.0,615.0,616.0,616.0,616.0,617.0,617.0,617.0,617.0,617.0,618.0,618.0,619.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,926.0,265.0,262.0,349.0,352.0,216.0,150.0,155.0,445.0,344.0,150.0,153.0,326.0,247.0,152.0,146.0,154.0,175.0,260.0,251.0,246.0,149.0,251.0,330.0,170.0,150.0,272.0,176.0,264.0,154.0,275.0,148.0,260.0,164.0,248.0,148.0,345.0,260.0,241.0,199.0,268.0,166.0,414.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
