,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accumulated time steps,0.0,1000.0,1254.0,1504.0,1763.0,2200.0,2628.0,2882.0,3151.0,3585.0,3852.0,4207.0,4470.0,4721.0,4873.0,5215.0,5477.0,5725.0,6151.0,6409.0,6660.0,6906.0,7061.0,7323.0,7839.0,8175.0,8426.0,8838.0,9186.0,9340.0,9511.0,9663.0,9931.0,10274.0,10432.0,10775.0,11021.0,11267.0,11514.0,11776.0
Episode reward,0.0,-58.08334530209991,85.32144778611077,86.36724227790681,85.42530309171536,74.32533929063632,76.35760182182739,85.30583270852854,83.35451293178981,74.07991367392984,84.08408945281525,77.69616657579643,85.08263874636475,86.45002550691531,90.69403842889973,81.23421521771269,85.86133474697888,86.55932210492476,77.10454513810109,85.0301698419106,86.39867110458147,86.79098955232043,91.90295613217886,85.48599233897778,74.69416297094475,83.79173972442489,87.32531067527866,78.81062646540789,81.0176097705045,91.78746564753797,89.95077750403073,91.26328042414632,84.95077521557113,82.19100011023463,91.19680907884307,81.02170082067894,87.50682555698852,86.82931779130682,86.98458739240522,85.35512688198764
Episode feedback,0.8,0.3226452902578705,0.16996047363651987,0.2088353405267657,0.19767441783847126,0.1353211006070617,0.1124121777226881,0.10671936716711712,0.08955223847182,0.06466512687144313,0.05639097723161287,0.05084745748348176,0.04580152654274226,0.035999999856,0.03311258256216833,0.041055718354675315,0.04214559370825443,0.056680161713845496,0.032941176393079585,0.02334630341110388,0.031999999872,0.020408163182007496,0.006493506451340867,0.02298850565904787,0.011650485414270903,0.008955223853865003,0.015999999936,0.009732360073643892,0.011527377488393725,0.0,0.005882352906574395,0.013245033024867332,0.007490636676065031,0.005847953199274991,0.00636942671102276,0.005847953199274991,0.0,0.0,0.0,0.0
total seconds,0.0,70.48591303825378,87.30116724967957,104.27570915222168,121.6526746749878,148.62864685058594,174.2977659702301,189.9265444278717,206.1544258594513,230.8307135105133,246.20304322242737,266.274694442749,281.33344888687134,295.6040711402893,304.4742181301117,323.645307302475,338.5839054584503,353.053035736084,376.35040163993835,390.7449531555176,404.97161173820496,418.7270791530609,427.4116473197937,441.99886083602905,469.28495264053345,487.40935611724854,501.1605153083801,523.146064043045,541.9740343093872,550.7147223949432,560.2082509994507,568.9567649364471,583.588686466217,601.9463572502136,610.9459226131439,629.197252035141,642.5753676891327,655.9768612384796,669.3747539520264,683.467545747757
total minutes,0.0,1.1747652173042298,1.4550194541613262,1.7379284858703614,2.0275445779164634,2.4771441141764323,2.9049627661705015,3.165442407131195,3.4359070976575214,3.847178558508555,4.1033840537071224,4.437911574045817,4.688890814781189,4.926734519004822,5.074570302168528,5.39408845504125,5.643065090974172,5.884217262268066,6.272506693998973,6.512415885925293,6.749526862303416,6.978784652551015,7.123527455329895,7.366647680600484,7.821415877342224,8.123489268620808,8.352675255139669,8.719101067384084,9.03290057182312,9.178578706582387,9.336804183324178,9.482612748940786,9.726478107770284,10.03243928750356,10.1824320435524,10.48662086725235,10.709589461485544,10.932947687307994,11.156245899200439,11.391125762462616
cummulative feedback,0.0,322.0,365.0,417.0,468.0,527.0,575.0,602.0,626.0,654.0,669.0,687.0,699.0,708.0,713.0,727.0,738.0,752.0,766.0,772.0,780.0,785.0,786.0,792.0,798.0,801.0,805.0,809.0,813.0,813.0,814.0,816.0,818.0,820.0,821.0,823.0,823.0,823.0,823.0,823.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,253.0,249.0,258.0,436.0,427.0,253.0,268.0,433.0,266.0,354.0,262.0,250.0,151.0,341.0,261.0,247.0,425.0,257.0,250.0,245.0,154.0,261.0,515.0,335.0,250.0,411.0,347.0,153.0,170.0,151.0,267.0,342.0,157.0,342.0,245.0,245.0,246.0,261.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
