,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Accumulated time steps,0.0,951.0,1116.0,1276.0,1471.0,2042.0,2290.0,2854.0,3108.0,3286.0,3443.0,3606.0,3946.0,4211.0,4366.0,4821.0,5612.0,5861.0,6107.0,6289.0,6560.0,6813.0,6961.0,7112.0,7353.0,7600.0,7751.0,7910.0,8254.0,8417.0,8674.0,8905.0,9047.0,9289.0,9439.0,9680.0,9827.0,10172.0,10320.0,10567.0,10929.0,11174.0,11335.0,11491.0,11641.0,11893.0
Episode reward,0.0,51.1696146656286,89.6882633538248,90.55033639030222,87.08915567084871,66.53188265304016,86.21502007885368,67.59192939015496,86.77174795558136,89.39338300941259,91.56376966619425,90.87695200095499,77.04627660741609,85.03677650560287,91.75755474735624,76.14571448951996,55.4500164884383,86.95747782695527,85.93272544384338,88.5412676858212,84.29970708021314,86.75288691508291,92.21151479486001,91.4041369349385,86.09406158624208,86.98421481409866,91.04435144533448,90.69968596318388,80.24199103177665,91.19148941924884,85.02187478978485,86.77785474792898,92.3471011898833,86.05451522349595,90.09248644097316,85.57452404098522,91.1106829106854,78.96790113941044,91.51107198336828,84.39331555908997,78.2925101463679,85.88904086724516,90.60820456881278,90.603364114667,90.46518137878327,85.22897815210717
Episode feedback,0.8,0.30242360347479075,0.1829268281528852,0.12578616273090465,0.08762886552768626,0.12631578925207756,0.15384615322329492,0.08348134976291056,0.10276679801277945,0.022598869928819945,0.01923076910749507,0.05555555521262003,0.04129793498142202,0.041666666508838386,0.04545454515938607,0.04625550650604514,0.021518987314532927,0.024193548289542146,0.016326530545605997,0.022099447391715762,0.007407407379972565,0.003968253952506929,0.00680272104215836,0.0,0.02916666654513889,0.020325203169409743,0.0,0.01898734165197885,0.005830903773087744,0.006172839468068892,0.0,0.00869565213610586,0.0,0.012448132728430985,0.0,0.0,0.0068493150215800346,0.0,0.00680272104215836,0.0,0.0027700830948197146,0.0,0.006249999960937501,0.0,0.0,0.0
total seconds,0.0,65.58047747612,76.8787989616394,87.30887508392334,99.21212553977966,133.75868773460388,149.83688497543335,182.32876348495483,197.81541466712952,208.06914806365967,217.19695520401,226.8895881175995,245.87257528305054,260.9564952850342,270.2059473991394,295.38804388046265,337.346293926239,351.19680762290955,364.7130751609802,375.097425699234,389.86084818840027,403.68409538269043,412.29886198043823,420.7773208618164,434.22934079170227,447.9879322052002,456.5473527908325,465.6790392398834,484.11708092689514,493.2202775478363,507.17212867736816,519.894073009491,527.9864540100098,541.4211249351501,549.8778035640717,562.9463562965393,571.5286121368408,589.8476078510284,598.3124377727509,611.7534594535828,630.8660798072815,644.1836378574371,653.3607065677643,662.2272582054138,670.8096826076508,684.2285754680634
total minutes,0.0,1.0930079579353333,1.2813133160273233,1.455147918065389,1.6535354256629944,2.229311462243398,2.4972814162572226,3.0388127247492474,3.296923577785492,3.4678191343943277,3.6199492534001667,3.7814931352933248,4.097876254717509,4.349274921417236,4.503432456652323,4.923134064674377,5.622438232103984,5.853280127048492,6.0785512526830034,6.2516237616539,6.497680803140004,6.728068256378174,6.871647699673971,7.01295534769694,7.237155679861704,7.466465536753336,7.609122546513875,7.761317320664724,8.068618015448253,8.220337959130605,8.45286881128947,8.66490121682485,8.799774233500163,9.023685415585836,9.164630059401194,9.38243927160899,9.525476868947347,9.830793464183808,9.971873962879181,10.195890990893046,10.514434663454692,10.736393964290619,10.889345109462738,11.03712097009023,11.18016137679418,11.403809591134388
cummulative feedback,0.0,287.0,317.0,337.0,354.0,426.0,464.0,511.0,537.0,541.0,544.0,553.0,567.0,578.0,585.0,606.0,623.0,629.0,633.0,637.0,639.0,640.0,641.0,641.0,648.0,653.0,653.0,656.0,658.0,659.0,659.0,661.0,661.0,664.0,664.0,664.0,665.0,665.0,666.0,666.0,667.0,667.0,668.0,668.0,668.0,668.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,949.0,164.0,159.0,194.0,570.0,247.0,563.0,253.0,177.0,156.0,162.0,339.0,264.0,154.0,454.0,790.0,248.0,245.0,181.0,270.0,252.0,147.0,150.0,240.0,246.0,150.0,158.0,343.0,162.0,256.0,230.0,141.0,241.0,149.0,240.0,146.0,344.0,147.0,246.0,361.0,244.0,160.0,155.0,149.0,251.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
