,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,1000.0,1999.0,2945.0,3696.0,4479.0,4867.0,5818.0,6198.0,6939.0,7308.0,8041.0,8671.0,8956.0,9515.0,9878.0,10157.0,10425.0,10701.0,11019.0,11186.0,11373.0,11673.0,11928.0
Episode reward,0.0,-63.47197908200424,-66.26784667809912,42.45751228047257,56.8624232866135,52.53735223614357,77.20516847574854,40.29785397593176,77.35184725459126,56.57489306477082,78.94393125083738,52.86723145815769,59.7204582140919,82.80074781376499,66.2947250523957,78.51428548787345,84.22902790399863,85.35354938473901,83.38243854480571,79.31540761583985,90.05631182223252,88.39081958629723,80.50849037138349,83.62976667310302
Episode feedback,0.8,0.17234468920606744,0.3036072141246421,0.14391534376305254,0.05733333325688889,0.03836317130644096,0.049095607108280086,0.02421052629030471,0.02902374662526716,0.0054054053981008035,0.008152173890890832,0.005464480866851802,0.0015898251167093401,0.0035211267481650467,0.0,0.0027624309315954945,0.007194244578437969,0.0037453183380325157,0.003636363623140496,0.0,0.006024096349252432,0.0,0.0066889631883312265,0.003937007858515717
total seconds,0.0,60.809518814086914,132.63965106010437,190.24278855323792,231.8346893787384,273.97154712677,295.83043122291565,346.04062366485596,366.8901376724243,405.1925220489502,425.0204772949219,463.0379829406738,495.7861065864563,511.17544507980347,540.0486223697662,559.3586413860321,574.533985376358,589.0062601566315,603.9104731082916,620.8863639831543,630.4121644496918,640.8144574165344,656.9181842803955,670.6337497234344
total minutes,0.0,1.013491980234782,2.2106608510017396,3.170713142553965,3.86391148964564,4.566192452112833,4.930507187048594,5.767343727747599,6.114835627873739,6.753208700815836,7.083674621582031,7.717299715677897,8.263101776440939,8.519590751330059,9.000810372829438,9.322644023100535,9.5755664229393,9.816771002610524,10.06517455180486,10.348106066385904,10.506869407494863,10.68024095694224,10.948636404673259,11.177229162057241
cummulative feedback,0.0,172.0,475.0,611.0,654.0,684.0,703.0,726.0,737.0,741.0,744.0,748.0,749.0,750.0,750.0,751.0,753.0,754.0,755.0,755.0,756.0,756.0,758.0,759.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,945.0,750.0,782.0,387.0,950.0,379.0,740.0,368.0,732.0,629.0,284.0,558.0,362.0,278.0,267.0,275.0,317.0,166.0,186.0,299.0,254.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
