,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Accumulated time steps,0.0,1000.0,1651.0,2650.0,3272.0,3444.0,4443.0,5206.0,5680.0,6679.0,7678.0,8677.0,9676.0,10675.0,11674.0
Episode reward,0.0,-53.210430708297004,70.213029865815,-65.20974466039485,71.37607229736497,90.89429680150903,-58.89677443754205,42.97276221783792,96.81294160941654,-48.97421211772583,-71.05005216996503,-29.098442563229618,-41.16408859487699,-76.14286930968291,-8.965314346120506
Episode feedback,0.8,0.30661322614567815,0.21230769198106508,0.12324649286247846,0.12399355857649991,0.12280701682568997,0.10120240470821402,0.05380577420760397,0.0761099364141439,0.03907815627346878,0.027054108189324542,0.012024048084144241,0.01102204407713222,0.00400801602804808,0.0060120240420721205
total seconds,0.0,69.80817437171936,112.85885190963745,172.20846676826477,209.85769653320312,220.81136631965637,278.85038208961487,320.9024393558502,348.1348876953125,402.22724771499634,455.0779297351837,506.9807608127594,558.8505666255951,610.1903738975525,661.9270958900452
total minutes,0.0,1.1634695728619893,1.8809808651606241,2.8701411128044128,3.4976282755533856,3.6801894386609395,4.647506368160248,5.348373989264171,5.802248128255209,6.703787461916606,7.584632162253062,8.449679346879323,9.314176110426585,10.169839564959208,11.032118264834086
cummulative feedback,0.0,306.0,444.0,567.0,644.0,665.0,766.0,807.0,843.0,882.0,909.0,921.0,932.0,936.0,942.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,650.0,998.0,621.0,171.0,998.0,762.0,473.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
