,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Accumulated time steps,0.0,616.0,906.0,1057.0,1645.0,2005.0,2363.0,2608.0,2979.0,3375.0,3744.0,4044.0,4314.0,4577.0,4839.0,5188.0,5368.0,5518.0,5665.0,5818.0,6202.0,6572.0,6851.0,7154.0,7308.0,7575.0,7931.0,8200.0,8491.0,8653.0,8919.0,9065.0,9228.0,9503.0,9660.0,9923.0,10193.0,10444.0,10618.0,10997.0,11154.0,11322.0,11596.0,11747.0,11910.0
Episode reward,0.0,70.04586844129847,85.01934887565602,90.98165032551536,64.86145049329544,80.3547327719881,80.68940798002845,86.50468198115625,79.33614654473976,78.28055135365645,80.99626180161664,84.0130277644505,84.37274110749236,84.80031875388418,87.11443149538624,81.28283949073267,89.2411464159398,91.48757543781883,92.72715813549878,91.80458551522416,80.4128461658643,82.01429906884073,86.40383072678378,81.35421246991831,91.27081057485513,85.64327244405449,78.57432380112941,83.83907363998875,83.66254177146882,90.64638302942342,84.7671056333949,91.8662262364422,90.56806950768433,85.36373131670126,91.56363328934388,85.15864359478006,85.03427468332376,88.2523810314232,89.89685935032531,77.83993348898937,90.81859703575549,89.72019619286213,83.89022379408632,91.71278169196049,90.45176915005591
Episode feedback,0.8,0.40879478760782606,0.34602076004837107,0.16666666555555557,0.21805792126395585,0.14763231156648382,0.13165266069565082,0.1434426223629401,0.09729729703433163,0.09113924027559686,0.08423913020587193,0.08026755825997473,0.06691449789251117,0.04580152654274226,0.03448275848857181,0.05747126420266878,0.02234636859024375,0.033557046754650696,0.04794520515106024,0.05263157860110804,0.020887728404992877,0.0243902438363408,0.017985611446094923,0.013245033068725057,0.019607843009099065,0.018796992410537623,0.002816901400515771,0.0074626865393183335,0.013793103400713437,0.006211180085644845,0.015094339565681738,0.013793103353151011,0.006172839468068892,0.014598540092706058,0.0,0.007633587757123711,0.0,0.007999999968,0.01734104036219052,0.005291005277007922,0.006410256369165024,0.0,0.0,0.0,0.0
total seconds,0.0,46.70311498641968,68.88184356689453,79.13246488571167,118.40691065788269,141.10758638381958,163.22236824035645,178.86019444465637,200.6793668270111,224.02585005760193,245.72841334342957,263.4636354446411,279.28931403160095,294.36892342567444,309.2004294395447,329.0173077583313,339.319210767746,348.22803258895874,357.14116644859314,366.42723274230957,387.1003999710083,407.45872712135315,422.8494083881378,439.3492269515991,448.17879033088684,462.95943903923035,481.9924621582031,496.60854625701904,512.6811974048615,521.9553937911987,536.5957071781158,545.1039035320282,554.3285548686981,569.7607667446136,578.695499420166,593.1145837306976,607.7268915176392,621.4758508205414,631.4378535747528,651.4690735340118,660.6679620742798,670.2030110359192,684.9100122451782,693.5003437995911,702.561027765274
total minutes,0.0,0.7783852497736613,1.1480307261149088,1.3188744147618612,1.9734485109647115,2.351793106396993,2.7203728040059407,2.981003240744273,3.3446561137835187,3.7337641676266986,4.095473555723826,4.3910605907440186,4.654821900526683,4.90614872376124,5.153340490659078,5.483621795972188,5.655320179462433,5.803800543149312,5.952352774143219,6.107120545705159,6.451673332850138,6.790978785355886,7.047490139802297,7.322487115859985,7.46964650551478,7.715990650653839,8.03320770263672,8.27680910428365,8.544686623414357,8.699256563186646,8.94326178630193,9.085065058867137,9.238809247811636,9.496012779076894,9.6449249903361,9.885243062178294,10.128781525293986,10.357930847009023,10.52396422624588,10.85781789223353,11.011132701237996,11.170050183931986,11.415166870752971,11.558339063326518,11.709350462754568
cummulative feedback,0.0,251.0,351.0,376.0,504.0,557.0,604.0,639.0,675.0,711.0,742.0,766.0,784.0,796.0,805.0,825.0,829.0,834.0,841.0,849.0,857.0,866.0,871.0,875.0,878.0,883.0,884.0,886.0,890.0,891.0,895.0,897.0,898.0,902.0,902.0,904.0,904.0,906.0,909.0,911.0,912.0,912.0,912.0,912.0,912.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,614.0,289.0,150.0,587.0,359.0,357.0,244.0,370.0,395.0,368.0,299.0,269.0,262.0,261.0,348.0,179.0,149.0,146.0,152.0,383.0,369.0,278.0,302.0,153.0,266.0,355.0,268.0,290.0,161.0,265.0,145.0,162.0,274.0,156.0,262.0,269.0,250.0,173.0,378.0,156.0,167.0,273.0,150.0,162.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
