,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Accumulated time steps,0.0,1000.0,1778.0,2528.0,2681.0,2949.0,3103.0,3264.0,3533.0,3999.0,4239.0,4395.0,4549.0,4710.0,4969.0,5217.0,5591.0,5757.0,6035.0,6296.0,6459.0,6818.0,7077.0,7246.0,7519.0,7682.0,7849.0,8013.0,8270.0,8638.0,8906.0,9345.0,9615.0,9878.0,10033.0,10300.0,10465.0,10805.0,11094.0,11354.0,11607.0,11863.0
Episode reward,0.0,-68.05645440899534,63.836166513148264,56.91575119162009,91.56411174516828,86.70403415936487,91.91755967055006,91.97104965842102,86.5012250478259,74.43770265771622,87.06478771138306,90.74760143167661,91.5524393291935,91.11705202678904,87.97161735990345,86.57787215535373,80.61371933637949,90.9291401225056,86.27113881995494,85.69785797253607,90.93739107637047,80.35787240950415,85.39567134830291,90.38298138040956,85.46431802250743,91.01993776282363,90.7864541257057,91.2594212802205,86.83170577388397,81.15795802948482,86.44713831128408,78.87007430885555,85.58115019446622,89.18889463958753,91.96394941845942,89.13376175610615,92.03098988755323,80.02206013414228,82.60968009492544,86.14564577884099,87.0137710153202,87.03139720485515
Episode feedback,0.8,0.01803607212621636,0.25997425963967274,0.11882509997486636,0.11184210452735457,0.08239700343671534,0.12418300572429408,0.0812499994921875,0.06716417885386501,0.06236559126372991,0.037656903608130114,0.02580645144640999,0.06535947669699689,0.012499999921875001,0.04651162772669912,0.032388663836483145,0.037533511963717126,0.030303030119375577,0.025270758031513508,0.01153846149408284,0.018518518404206676,0.011173184326331888,0.015503875908899706,0.03571428550170068,0.014705882298875433,0.0,0.012048192698504864,0.006134969287515526,0.015624999938964844,0.005449591265804929,0.014981273352130063,0.009132420070473928,0.007434944210279018,0.0038167938785618554,0.012987012902681734,0.0,0.012195121876859014,0.0029498524986730015,0.003472222210165895,0.00386100384609651,0.0,0.00392156861207228
total seconds,0.0,45.4025502204895,99.03236222267151,143.81852340698242,153.69932341575623,169.59677410125732,179.68283367156982,189.63901948928833,205.1728000640869,231.62474536895752,245.28234720230103,254.37607979774475,263.56509923934937,272.8437240123749,287.6902325153351,301.72452902793884,322.3801004886627,331.9801812171936,347.50173449516296,361.8681893348694,371.25974678993225,390.4164819717407,404.74909019470215,414.6434488296509,429.5524387359619,438.7640600204468,448.24107694625854,457.37831711769104,471.47166323661804,491.08105301856995,505.80237650871277,528.9859046936035,543.6382319927216,557.8880362510681,566.8883709907532,581.18763256073,590.5444664955139,608.6913282871246,624.3479220867157,638.5106706619263,652.0012340545654,666.0366108417511
total minutes,0.0,0.7567091703414917,1.6505393703778586,2.3969753901163737,2.5616553902626036,2.8266129016876222,2.9947138945261638,3.1606503248214723,3.419546667734782,3.860412422815959,4.08803912003835,4.2396013299624125,4.392751653989156,4.5473954002062476,4.794837208588918,5.028742150465647,5.373001674811046,5.53300302028656,5.791695574919383,6.031136488914489,6.187662446498871,6.5069413661956785,6.745818169911702,6.910724147160848,7.159207312266032,7.312734333674113,7.470684615770976,7.622971951961517,7.857861053943634,8.184684216976166,8.430039608478546,8.816431744893391,9.060637199878693,9.298133937517802,9.448139516512553,9.686460542678834,9.842407774925231,10.144855471452077,10.405798701445262,10.641844511032104,10.866687234242757,11.10061018069585
cummulative feedback,0.0,18.0,220.0,309.0,326.0,348.0,367.0,380.0,398.0,427.0,436.0,440.0,450.0,452.0,464.0,472.0,486.0,491.0,498.0,501.0,504.0,508.0,512.0,518.0,522.0,522.0,524.0,525.0,529.0,531.0,535.0,539.0,541.0,542.0,544.0,544.0,546.0,547.0,548.0,549.0,549.0,550.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,777.0,749.0,152.0,267.0,153.0,160.0,268.0,465.0,239.0,155.0,153.0,160.0,258.0,247.0,373.0,165.0,277.0,260.0,162.0,358.0,258.0,168.0,272.0,162.0,166.0,163.0,256.0,367.0,267.0,438.0,269.0,262.0,154.0,266.0,164.0,339.0,288.0,259.0,252.0,255.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
