,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Accumulated time steps,0.0,1000.0,1614.0,1907.0,2278.0,2643.0,3029.0,3289.0,3445.0,4047.0,4304.0,4451.0,4616.0,4768.0,5130.0,5380.0,5823.0,6243.0,6502.0,6749.0,7087.0,7406.0,7671.0,7822.0,7979.0,8135.0,8291.0,8453.0,8704.0,9169.0,9556.0,9717.0,10035.0,10583.0,10869.0,11237.0,11410.0,11678.0,11948.0
Episode reward,0.0,-63.58862997118853,66.6716676126182,80.92641439676183,81.86841157081508,81.85273305236437,76.90161244095745,85.82741132512729,91.3634203284408,61.84177681281019,86.17149246267762,91.91775141182234,90.54757236156027,90.92503943312404,79.66258632136807,87.33189140142252,75.82800652751618,75.88278047991506,85.55652514826589,88.15855657786663,82.93983649952006,77.84862210851549,85.18459078666753,91.88540513284315,90.26526059866009,91.15802313041708,90.96832986237752,90.90780406579375,85.81241690663417,77.03846484711542,77.65848567616575,90.60500718143835,80.19603491487014,70.3831102575021,83.06344239909376,80.84808449416239,90.19051548342026,86.0772433349182,84.65687476879599
Episode feedback,0.8,0.1843687372902117,0.2610114188237987,0.1815068486934697,0.16486486441928416,0.11263736232791934,0.06753246735705852,0.0733590730758337,0.03870967716961499,0.02662229612874826,0.07812499969482423,0.020547945064740104,0.030487804692147534,0.03311258256216833,0.019390581663738003,0.02409638544539604,0.013574660602772261,0.016706443874208964,0.027131782840574485,0.008130081267763897,0.014836795208199421,0.009433962234484396,0.007575757547061524,0.0066666666222222224,0.006410256369165024,0.0064516128616024975,0.0,0.0,0.003999999984,0.004310344818296671,0.005181347136835888,0.0,0.0031545741225407755,0.0036563071231146124,0.003508771917513081,0.0027247956329024643,0.0,0.0037453183380325157,0.0
total seconds,0.0,61.446921586990356,104.09228658676147,123.40551590919495,147.59957075119019,169.78189039230347,192.00086569786072,207.27157592773438,216.61186695098877,249.04229736328125,264.23078989982605,272.7217183113098,282.35458183288574,291.32897114753723,310.9896457195282,325.0192201137543,348.6082808971405,371.21199345588684,385.68664264678955,399.0022599697113,417.31710481643677,434.5572588443756,449.05451560020447,457.69930839538574,466.57878375053406,475.5725221633911,484.39878940582275,493.5680024623871,507.2720100879669,531.5163102149963,552.1820137500763,561.3027172088623,578.3639211654663,606.8322954177856,622.2517042160034,641.7895843982697,651.471780538559,665.9301552772522,680.512336730957
total minutes,0.0,1.0241153597831727,1.7348714431126913,2.0567585984865824,2.45999284585317,2.829698173205058,3.2000144282976786,3.4545262654622397,3.6101977825164795,4.150704956054687,4.403846498330434,4.545361971855163,4.7059096972147625,4.8554828524589535,5.183160761992137,5.4169870018959045,5.810138014952342,6.186866557598114,6.428110710779825,6.650037666161855,6.9552850802739465,7.242620980739593,7.484241926670075,7.628321806589763,7.776313062508901,7.926208702723185,8.073313156763712,8.226133374373118,8.454533501466114,8.85860517024994,9.203033562501272,9.355045286814372,9.639398686091106,10.113871590296428,10.37086173693339,10.696493073304493,10.857863008975983,11.098835921287536,11.341872278849284
cummulative feedback,0.0,184.0,344.0,397.0,458.0,499.0,525.0,544.0,550.0,566.0,586.0,589.0,594.0,599.0,606.0,612.0,618.0,625.0,632.0,634.0,639.0,642.0,644.0,645.0,646.0,647.0,647.0,647.0,648.0,650.0,652.0,652.0,653.0,655.0,656.0,657.0,657.0,658.0,658.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,613.0,292.0,370.0,364.0,385.0,259.0,155.0,601.0,256.0,146.0,164.0,151.0,361.0,249.0,442.0,419.0,258.0,246.0,337.0,318.0,264.0,150.0,156.0,155.0,155.0,161.0,250.0,464.0,386.0,160.0,317.0,547.0,285.0,367.0,172.0,267.0,269.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
