,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Accumulated time steps,0.0,1000.0,1999.0,2265.0,2527.0,2793.0,3249.0,3765.0,3917.0,4155.0,4420.0,4569.0,4830.0,5103.0,5362.0,5748.0,5994.0,6268.0,6721.0,6886.0,7161.0,7517.0,7776.0,8233.0,8609.0,8889.0,9252.0,9427.0,9897.0,10062.0,10223.0,10494.0,10659.0,10822.0,10998.0,11245.0,11497.0,11764.0
Episode reward,0.0,-61.281864531446494,-58.378061137050025,86.433897121867,85.33245650672882,85.68332257094315,78.05530967489757,73.3090470231478,91.04268842982518,86.58421494635004,85.54511016696478,91.74817168862522,84.06905289348131,86.1131006443003,86.07274397434672,78.52666490001452,86.51397602132806,85.35212806128472,77.5933613811578,91.1366881467211,86.13859932241728,84.35195910196938,86.74114795838827,77.4730247671894,80.17107939169057,84.7853268897734,82.68038261574713,90.29255383104281,76.97632968608767,91.0219654601799,91.19760492626727,84.92103728012742,90.95427571672991,91.15136050350955,89.76573991753384,88.17128585835391,87.61648297852747,86.31621066468816
Episode feedback,0.8,0.20240480941642805,0.2454909817179449,0.1962264143538626,0.13409961634444592,0.13962264098255608,0.09450549429779012,0.06407766977848996,0.06622516512433665,0.03797468338407307,0.06439393915002296,0.03378378355551498,0.026923076819526628,0.02205882344831315,0.04263565874947419,0.03896103885984146,0.036734693727613496,0.032967032846274606,0.024336283131999373,0.042682926569006546,0.025547445162235602,0.005633802801031542,0.02325581386334956,0.008771929805324716,0.015999999957333335,0.0035842293778343033,0.011049723726381978,0.005747126403752147,0.0,0.006097560938429507,0.006249999960937501,0.0,0.0,0.012345678936137784,0.0,0.0040650406338819485,0.0,0.0
total seconds,0.0,62.362074851989746,130.2663791179657,148.1318757534027,164.72535634040833,181.72855710983276,208.4200403690338,237.71363615989685,247.04506063461304,260.5302700996399,275.99862122535706,284.8797664642334,299.54235196113586,314.9233286380768,329.57842087745667,350.97486996650696,365.0070924758911,380.28021001815796,404.7477262020111,414.4783592224121,429.8345699310303,448.5864624977112,463.0438230037689,487.25697088241577,507.41215896606445,522.4711689949036,541.7970795631409,551.6583731174469,576.0467205047607,585.4647026062012,594.6743197441101,609.2536628246307,618.558714389801,627.9371936321259,637.6747250556946,651.1332037448883,664.7585597038269,679.1780824661255
total minutes,0.0,1.039367914199829,2.1711063186327615,2.4688645958900453,2.7454226056734723,3.0288092851638795,3.473667339483897,3.961893935998281,4.117417677243551,4.342171168327331,4.599977020422617,4.747996107737223,4.992372532685597,5.248722143967947,5.492973681290945,5.849581166108449,6.083451541264852,6.338003500302633,6.7457954367001856,6.907972653706868,7.163909498850504,7.47644104162852,7.717397050062815,8.120949514706929,8.456869316101074,8.707852816581726,9.029951326052348,9.194306218624115,9.600778675079345,9.757745043436687,9.911238662401836,10.154227713743845,10.309311906496683,10.465619893868764,10.627912084261576,10.852220062414805,11.079309328397114,11.319634707768758
cummulative feedback,0.0,202.0,447.0,499.0,534.0,571.0,614.0,647.0,657.0,666.0,683.0,688.0,695.0,701.0,712.0,727.0,736.0,745.0,756.0,763.0,770.0,772.0,778.0,782.0,788.0,789.0,793.0,794.0,794.0,795.0,796.0,796.0,796.0,798.0,798.0,799.0,799.0,799.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,265.0,261.0,265.0,455.0,515.0,151.0,237.0,264.0,148.0,260.0,272.0,258.0,385.0,245.0,273.0,452.0,164.0,274.0,355.0,258.0,456.0,375.0,279.0,362.0,174.0,469.0,164.0,160.0,270.0,164.0,162.0,175.0,246.0,251.0,266.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
