,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11870.0
Episode reward,0.0,-68.21098600888944,-68.86648370576773,-62.4739254255593,-68.2394085607962,-62.00076343072082,-71.05122539642826,-60.15277424068452,-53.27495968662329,-53.37626097234414,-48.54434128617639,-44.66483782011021,37.07934303260493
Episode feedback,0.8,0.07314629251187746,0.10621242474327412,0.12224448885546645,0.0601202404207212,0.08216432857498564,0.04609218432255292,0.04709418832956494,0.01903807613322838,0.012024048084144241,0.02204408815426444,0.0030060120210360602,0.0022753128529291095
total seconds,0.0,52.85623383522034,111.25912022590637,170.58073043823242,225.63000321388245,282.301860332489,336.40252137184143,390.6800203323364,443.0761556625366,495.0378997325897,547.5326917171478,598.6986484527588,643.7919120788574
total minutes,0.0,0.8809372305870056,1.854318670431773,2.8430121739705405,3.7605000535647073,4.705031005541484,5.606708689530691,6.511333672205607,7.38460259437561,8.250631662209829,9.125544861952465,9.978310807545979,10.72986520131429
cummulative feedback,0.0,73.0,179.0,301.0,361.0,443.0,489.0,536.0,555.0,567.0,589.0,592.0,594.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,879.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
