,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accumulated time steps,0.0,1000.0,1381.0,1746.0,2095.0,2358.0,2602.0,2756.0,3101.0,3380.0,3722.0,3880.0,4127.0,4292.0,4539.0,4785.0,5212.0,5566.0,5723.0,6153.0,6391.0,6826.0,7166.0,7445.0,7771.0,8107.0,8526.0,8775.0,8929.0,9167.0,9413.0,9658.0,9913.0,10161.0,10585.0,10925.0,11080.0,11337.0,11480.0,11836.0
Episode reward,0.0,-54.720716175388006,77.71207017324559,79.33462557533218,80.85264449296037,84.95183483451596,87.09139925601852,91.93056219629185,80.46079053235546,84.07241885532856,81.39154054846844,91.06811647852794,86.96316341713177,90.49291202135169,87.21055545545677,86.88884213856404,76.44849478781916,81.21464713181396,91.7246557176469,78.22593799107693,87.72696583167706,78.06297064486034,81.56500246320968,84.93479087378233,85.13209000744885,82.50967646316614,80.40179020805455,87.07152578204918,91.96474258332165,88.923842279995,86.42609777069158,87.50492969923947,86.89130372745443,87.86629872568204,80.94937133335759,84.48509203078848,91.241127629056,86.31813477258116,92.76122958033721,81.98666842961445
Episode feedback,0.8,0.3106212421737262,0.20263157841412743,0.10989010958821399,0.09770114914453693,0.12595419799254123,0.10699588433335028,0.07843137203639626,0.09883720901500812,0.06474820120594173,0.05278592359886826,0.07006369382125036,0.07317073140987508,0.05487804844586556,0.048780487606583385,0.03265306109121199,0.05164319236703476,0.03116147299954257,0.012820512738330047,0.02564102558125635,0.029535864854279052,0.02764976952154431,0.014749262493365008,0.0035971222892189846,0.0,0.017910447707730006,0.00717703347565303,0.0,0.013071895339399377,0.01687763705958803,0.0,0.0,0.003937007858515717,0.004048582979560393,0.002364066188264619,0.0,0.006493506451340867,0.0,0.0,0.0
total seconds,0.0,72.33619785308838,97.75199866294861,119.83367252349854,140.63260960578918,157.0977749824524,172.24006175994873,181.82294988632202,202.78418564796448,219.00878930091858,238.48181676864624,248.1330168247223,262.76268672943115,272.6602644920349,286.8900218009949,300.81836104393005,324.7799549102783,344.11975836753845,353.2129600048065,376.626544713974,390.0619258880615,413.6057024002075,432.0397353172302,447.1343283653259,464.37101650238037,482.7074680328369,505.0231955051422,518.5228128433228,527.1719918251038,540.4610848426819,553.8617548942566,567.148279428482,581.04927277565,594.3923316001892,616.7721092700958,634.9062728881836,643.7328670024872,657.4982395172119,665.6611518859863,684.5426592826843
total minutes,0.0,1.205603297551473,1.6291999777158102,1.9972278753916421,2.343876826763153,2.61829624970754,2.8706676959991455,3.030382498105367,3.379736427466075,3.650146488348643,3.974696946144104,4.135550280412038,4.379378112157186,4.544337741533915,4.781500363349915,5.013639350732167,5.412999248504638,5.7353293061256405,5.886882666746775,6.277109078566233,6.501032098134359,6.893428373336792,7.20066225528717,7.452238806088766,7.73951694170634,8.045124467213949,8.417053258419037,8.642046880722045,8.78619986375173,9.00768474737803,9.23102924823761,9.452471323808034,9.684154546260833,9.906538860003154,10.279535154501596,10.58177121480306,10.72888111670812,10.958303991953532,11.094352531433106,11.409044321378072
cummulative feedback,0.0,310.0,387.0,427.0,461.0,494.0,520.0,532.0,566.0,584.0,602.0,613.0,631.0,640.0,652.0,660.0,682.0,693.0,695.0,706.0,713.0,725.0,730.0,731.0,731.0,737.0,740.0,740.0,742.0,746.0,746.0,746.0,747.0,748.0,749.0,749.0,750.0,750.0,750.0,750.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,380.0,364.0,348.0,262.0,243.0,153.0,344.0,278.0,341.0,157.0,246.0,164.0,246.0,245.0,426.0,353.0,156.0,429.0,237.0,434.0,339.0,278.0,325.0,335.0,418.0,248.0,153.0,237.0,245.0,244.0,254.0,247.0,423.0,339.0,154.0,256.0,142.0,355.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
