,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11834.0
Episode reward,0.0,-65.02384305520954,-64.89574010612584,-61.461250007169355,-73.1069479097092,-83.36542211602689,-97.794826231305,-99.6775850374078,-42.923151411334516,-23.575809243761537,-48.80132991245802,-49.704795209092715,52.59175766308883
Episode feedback,0.8,0.007014028049084141,0.1342685369396107,0.1553106210868631,0.11923847683443038,0.10821643275729817,0.025050100175300502,0.028056112196336563,0.035070140245420704,0.0200400801402404,0.007014028049084141,0.00200400801402404,0.002372479237992314
total seconds,0.0,45.07996320724487,104.38929390907288,166.09228014945984,225.4065546989441,283.83637285232544,336.79965567588806,389.98512959480286,443.4933292865753,495.776659488678,547.21431183815,598.4533951282501,642.063845872879
total minutes,0.0,0.7513327201207479,1.7398215651512146,2.768204669157664,3.756775911649068,4.730606214205424,5.613327594598134,6.499752159913381,7.391555488109589,8.262944324811299,9.120238530635834,9.974223252137502,10.701064097881318
cummulative feedback,0.0,7.0,141.0,296.0,415.0,523.0,548.0,576.0,611.0,631.0,638.0,640.0,642.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,843.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
