,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2925.0,3924.0,4923.0,5922.0,6921.0,7920.0,8919.0,9918.0,10917.0,11916.0,12915.0,13914.0,14913.0,15912.0,16911.0,17910.0,18909.0,19908.0
Episode reward,0.0,-61.096802808196394,-86.3722443557563,36.36568754169896,-72.87510331158234,-90.74805725658798,-92.72839816598912,-61.541632127154756,-98.88916814988187,-90.57043100270054,-73.5674131020788,-84.4995473541817,-89.14442599817512,-99.8133231653688,-99.73126047074763,-99.62997823557143,-99.62910215251682,-99.5430787505695,-97.91763479435413,-99.304155679121,-83.54339379984981
Episode feedback,0.8,0.2955911820685459,0.25150300576001705,0.27891891861738494,0.09919839669418998,0.0601202404207212,0.04709418832956494,0.0400801602804808,0.013026052091156261,0.012024048084144241,0.01603206411219232,0.00400801602804808,0.0050100200350601,0.0,0.00200400801402404,0.00100200400701202,0.00100200400701202,0.00100200400701202,0.00100200400701202,0.0,0.00100200400701202
total seconds,0.0,72.89247155189514,144.89595985412598,213.00063061714172,271.51707124710083,326.63955569267273,380.86169147491455,434.8391890525818,486.71351432800293,538.6506559848785,591.1162040233612,642.5904071331024,693.7956554889679,744.4846305847168,795.2351830005646,845.7653348445892,896.0355467796326,946.2115185260773,996.4901692867279,1046.7514116764069,1097.2685477733612
total minutes,0.0,1.214874525864919,2.4149326642354327,3.5500105102856954,4.525284520785013,5.443992594877879,6.347694857915243,7.24731981754303,8.111891905466715,8.977510933081309,9.851936733722686,10.70984011888504,11.56326092481613,12.408077176411947,13.253919716676076,14.096088914076487,14.933925779660543,15.77019197543462,16.608169488112132,17.445856861273448,18.28780912955602
cummulative feedback,0.0,295.0,546.0,804.0,903.0,963.0,1010.0,1050.0,1063.0,1075.0,1091.0,1095.0,1100.0,1100.0,1102.0,1103.0,1104.0,1105.0,1106.0,1106.0,1107.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,925.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
