,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,784.0,1121.0,1386.0,2385.0,2636.0,2996.0,3718.0,4443.0,5442.0,6441.0,7440.0,8439.0,9438.0,10437.0,11436.0,12435.0,13434.0,14433.0,15432.0,16431.0,17430.0,18429.0,19428.0
Episode reward,0.0,57.17765868229571,83.2116462064165,87.06226384514783,-43.314236770731995,89.80617421310154,83.13295540512532,72.81251982696314,74.15683243776691,-34.06551213848849,-33.12244375193968,-36.81827895705169,-29.408527622882858,-30.772947802518956,-31.274221043196977,-32.259508545138665,-33.04512521056539,-30.405130037348606,-30.395270410850973,-29.53887283323893,-29.88388733071428,-31.3015984337818,-29.986623975599464,-30.661786340717747
Episode feedback,0.8,0.3491048588886127,0.29761904673327666,0.3522727259383609,0.21242484948654825,0.203999999184,0.14763231156648382,0.13453536735848076,0.09530386727167975,0.05911823641370918,0.04709418832956494,0.04609218432255292,0.02304609216127646,0.013026052091156261,0.00901803606310818,0.00400801602804808,0.0050100200350601,0.0,0.00100200400701202,0.0,0.0,0.0,0.00100200400701202,0.0
total seconds,0.0,47.251893281936646,68.30100536346436,85.3729977607727,141.13208961486816,155.821763753891,175.8532419204712,214.06138610839844,251.00142097473145,300.0448136329651,348.76927042007446,397.0026972293854,445.0432279109955,492.1850709915161,539.3178060054779,586.5090889930725,633.61785364151,680.2790577411652,726.7564980983734,773.3925778865814,820.2775483131409,866.6080365180969,913.1069357395172,959.4504361152649
total minutes,0.0,0.7875315546989441,1.1383500893910725,1.4228832960128783,2.352201493581136,2.597029395898183,2.9308873653411864,3.5676897684733073,4.183357016245524,5.000746893882751,5.812821173667908,6.616711620489756,7.4173871318499245,8.20308451652527,8.988630100091298,9.775151483217876,10.560297560691833,11.337984295686086,12.112608301639558,12.88987629810969,13.671292471885682,14.443467275301616,15.218448928991954,15.990840601921082
cummulative feedback,0.0,273.0,373.0,466.0,678.0,729.0,782.0,879.0,948.0,1007.0,1054.0,1100.0,1123.0,1136.0,1145.0,1149.0,1154.0,1154.0,1155.0,1155.0,1155.0,1155.0,1156.0,1156.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,782.0,336.0,264.0,998.0,250.0,359.0,721.0,724.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
