,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,361.0,810.0,1809.0,2160.0,2844.0,3365.0,4364.0,5363.0,6362.0,7361.0,8360.0,9359.0,10358.0,11357.0,12356.0,13355.0,14354.0,15353.0,16352.0,17351.0,18350.0,19349.0
Episode reward,0.0,84.2146058138279,82.13205279158794,-34.414130562617835,85.83858004052095,73.69173270515154,82.27641666450151,-31.026402139914026,-34.16644847463493,-32.20830002895638,-31.32077310020739,-29.2388361029645,-32.507018648538214,-27.856282515026844,-29.32294729403411,-31.03393369364951,-32.239831032598424,-29.30731810713804,-27.84182427302683,-29.15819832354101,-31.28630078425508,-30.494720921708804,-29.45223797506674
Episode feedback,0.8,0.4623955418874776,0.4508928561363999,0.3036072141246421,0.23142857076734694,0.18594436283170665,0.19038461501849113,0.11422845679937028,0.08116232456797362,0.06613226446279333,0.026052104182312522,0.01803607212621636,0.0100200400701202,0.0100200400701202,0.0060120240420721205,0.00400801602804808,0.00200400801402404,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,23.55599594116211,54.1258430480957,114.25856328010559,134.9188723564148,172.9715120792389,202.14599919319153,254.07384133338928,304.6331548690796,354.03894329071045,401.9069106578827,449.4550108909607,496.7249300479889,543.7658655643463,591.119562625885,638.31365275383,685.5598015785217,732.4849920272827,779.5092406272888,826.5419285297394,873.359114408493,919.6584293842316,966.2782979011536
total minutes,0.0,0.3925999323527018,0.9020973841349283,1.9043093880017599,2.2486478726069135,2.8828585346539817,3.3690999865531923,4.234564022223155,5.077219247817993,5.900649054845174,6.698448510964711,7.490916848182678,8.278748834133149,9.06276442607244,9.851992710431416,10.6385608792305,11.425996692975362,12.208083200454713,12.99182067712148,13.77569880882899,14.55598524014155,15.327640489737194,16.104638298352558
cummulative feedback,0.0,166.0,368.0,671.0,752.0,879.0,978.0,1092.0,1173.0,1239.0,1265.0,1283.0,1293.0,1303.0,1309.0,1313.0,1315.0,1316.0,1317.0,1317.0,1317.0,1317.0,1317.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,359.0,448.0,998.0,350.0,683.0,520.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
