,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3715.0,4714.0,5123.0,6122.0,6892.0,7488.0,8220.0,8801.0,9800.0,10799.0,11243.0,12242.0,13241.0,14240.0,15239.0,16238.0,17237.0,18236.0,19235.0
Episode reward,0.0,-68.07570827770434,-66.31950875277619,-58.413731305495084,56.71933512374124,-67.23385705904104,75.26333024423377,-65.55813357116938,44.89881044082415,54.220664807780686,55.40108811032,63.48703095683381,-32.212818032367004,-51.47083057321153,70.6378662791273,-67.00475186477651,-67.18599378548767,-51.26667446325628,-55.55310116838286,-43.93370566647379,-50.37723625750879,-68.44186512340654,-73.91179753931775
Episode feedback,0.8,0.00801603205609616,0.06813627247681736,0.20741482945148815,0.10055865907743204,0.08216432857498564,0.08088235274293541,0.02104208414725242,0.026007802306881923,0.01848739492691194,0.02462380297589083,0.013793103424494649,0.01703406811920434,0.0050100200350601,0.0022573363380195568,0.00200400801402404,0.00100200400701202,0.0,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0
total seconds,0.0,45.15024471282959,99.18933343887329,162.75566744804382,203.90534162521362,259.63737297058105,283.14765787124634,335.15534257888794,375.5699305534363,406.85464787483215,445.2273347377777,475.5613548755646,527.0050666332245,577.603874206543,600.6635863780975,651.2351157665253,701.7303512096405,752.165198802948,802.5657846927643,853.0175888538361,903.4095163345337,953.7918255329132,1004.206381559372
total minutes,0.0,0.7525040785471598,1.6531555573145549,2.712594457467397,3.398422360420227,4.327289549509684,4.719127631187439,5.585922376314799,6.259498842557272,6.78091079791387,7.420455578962962,7.926022581259409,8.783417777220409,9.626731236775717,10.011059772968292,10.853918596108754,11.695505853494009,12.5360866467158,13.37609641154607,14.2169598142306,15.056825272242229,15.896530425548553,16.73677302598953
cummulative feedback,0.0,8.0,76.0,283.0,355.0,437.0,470.0,491.0,511.0,522.0,540.0,548.0,565.0,570.0,571.0,573.0,574.0,574.0,574.0,575.0,576.0,576.0,576.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,716.0,998.0,408.0,998.0,769.0,595.0,731.0,580.0,998.0,998.0,443.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
