,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,584.0,829.0,1315.0,1690.0,2407.0,2769.0,3768.0,4387.0,5386.0,5882.0,6210.0,7209.0,7830.0,8829.0,9402.0,9963.0,10962.0,11777.0,12157.0,12670.0,13669.0,14568.0,15567.0,16566.0,17565.0,18131.0,19130.0,19708.0
Episode reward,0.0,73.41720051450297,91.103558023382,78.5623127427173,82.90237485739975,65.57429854719021,82.48955689611184,-44.705269734894145,76.30566637167465,-35.66809283231455,81.6807885739884,88.56070582723191,-38.790193443023064,71.49995196982843,-34.48524349220484,80.83175672408095,77.61504058799085,-31.433037027806932,73.66554339752504,87.79387989628339,80.52530438072262,-37.36661411429661,71.10272351457508,-40.06663461219051,-36.76928126830253,-37.03735023738371,79.0647818436188,-39.18269646931375,82.55026874165324
Episode feedback,0.8,0.424398624700346,0.41803278517199677,0.3278350508704432,0.24866310093940347,0.15921787687260072,0.14681440402544488,0.1392785569746708,0.09385113253422146,0.056112224392673125,0.052525252419140904,0.051987767425113865,0.03106212421737262,0.016129032232049947,0.014028056098168281,0.024475524432735096,0.014285714260204082,0.00901803606310818,0.0036855036809760396,0.0,0.0,0.007014028049084141,0.0,0.00200400801402404,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,37.096158504486084,53.77559161186218,83.96307039260864,106.24599266052246,144.99168801307678,164.82714796066284,217.44770216941833,249.2764654159546,298.28252816200256,323.2161383628845,339.804988861084,388.016722202301,418.00841093063354,465.78934383392334,493.9217748641968,521.0078535079956,568.6236391067505,607.3401231765747,625.8194978237152,650.3497955799103,697.6058142185211,739.9619104862213,786.6336336135864,833.1978054046631,880.0832273960114,906.8980765342712,953.5670917034149,980.8969614505768
total minutes,0.0,0.6182693084081013,0.8962598601977031,1.3993845065434773,1.770766544342041,2.41652813355128,2.7471191326777142,3.6241283694903057,4.154607756932577,4.971375469366709,5.3869356393814085,5.663416481018066,6.46694537003835,6.966806848843892,7.763155730565389,8.232029581069947,8.68346422513326,9.477060651779174,10.122335386276244,10.430324963728587,10.839163259665172,11.626763570308686,12.332698508103688,13.11056056022644,13.886630090077718,14.668053789933522,15.114967942237854,15.892784861723582,16.348282690842947
cummulative feedback,0.0,247.0,349.0,508.0,601.0,715.0,768.0,907.0,965.0,1021.0,1047.0,1064.0,1095.0,1105.0,1119.0,1133.0,1141.0,1150.0,1153.0,1153.0,1153.0,1160.0,1160.0,1162.0,1162.0,1162.0,1162.0,1162.0,1162.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,582.0,244.0,485.0,374.0,716.0,361.0,998.0,618.0,998.0,495.0,327.0,998.0,620.0,998.0,572.0,560.0,998.0,814.0,379.0,512.0,998.0,898.0,998.0,998.0,998.0,565.0,998.0,577.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
