,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Accumulated time steps,0.0,1000.0,1999.0,2753.0,3364.0,4010.0,4488.0,4875.0,5272.0,5584.0,6033.0,6372.0,6528.0,6949.0,7220.0,7375.0,7619.0,7860.0,8098.0,8366.0,8741.0,9069.0,9220.0,9465.0,9690.0,10004.0,10213.0,10501.0,11246.0,11521.0,11954.0,12198.0,12783.0,13054.0,13475.0,13708.0,14149.0,14392.0,14647.0,15067.0,15483.0,15744.0,15983.0,16488.0,17089.0,17506.0,17962.0,18209.0,18713.0,18976.0,19399.0
Episode reward,0.0,-59.97961547270699,-69.34354922007594,44.69232761690235,57.42161350449812,82.40226620099143,79.3316214071866,83.65507056834666,88.90761066233159,87.69911431458952,66.82012839217538,74.28398058054945,92.72907820790313,68.64687034816502,86.39360212660765,88.39459496994421,83.33397130406559,82.91214728218586,83.72861700324124,88.46467203651262,86.60149921691308,78.93106000806031,93.96953626160834,87.94791274972079,89.51053796148757,84.93618296195126,91.88418318460032,92.46758070119205,42.41642013842954,84.56367029098192,65.54761379651612,82.6800849730833,58.77134661682026,84.34041539035576,91.03046689761617,90.85711838774463,83.68740034722423,90.46998819968358,87.25511465309478,80.13112456510247,78.26582253810156,85.38741304677393,87.76217195741941,73.09751077379497,65.04568326423936,89.85626434831866,72.25191944540485,83.65299853527708,90.70254208179075,89.0765921892228,70.6916595696368
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.82732796669006,84.36390948295593,117.67841696739197,143.98803853988647,171.5274305343628,192.63715744018555,210.23385167121887,228.0534586906433,242.3178527355194,262.18296933174133,277.43655800819397,284.85262274742126,304.258576631546,316.70085167884827,324.18267369270325,335.2950208187103,346.4191858768463,357.78046107292175,369.7865512371063,386.1501681804657,400.94106793403625,408.32040786743164,419.9717469215393,430.6598057746887,445.2310869693756,454.76204109191895,467.87862825393677,500.7069709300995,513.0696771144867,532.8386764526367,544.710382938385,572.5915250778198,586.0643508434296,606.2027144432068,617.8654868602753,638.9420745372772,650.9196078777313,663.9140782356262,683.5665893554688,703.2622859477997,716.3089354038239,727.9178020954132,750.211020231247,776.0316677093506,794.1755816936493,814.0919244289398,825.4267919063568,847.1850044727325,859.2232463359833,877.574150800705
total minutes,0.0,0.6971221327781677,1.4060651580492656,1.9613069494565327,2.3998006423314413,2.8587905089060466,3.2106192906697593,3.5038975278536477,3.8008909781773883,4.038630878925323,4.369716155529022,4.623942633469899,4.747543712457021,5.070976277192433,5.278347527980804,5.403044561545054,5.588250346978506,5.773653097947439,5.963007684548696,6.163109187285105,6.435836136341095,6.682351132233937,6.80534013112386,6.999529115358988,7.177663429578145,7.42051811615626,7.579367351531983,7.797977137565613,8.345116182168324,8.551161285241445,8.880644607543946,9.078506382306417,9.54319208463033,9.767739180723826,10.103378574053446,10.29775811433792,10.649034575621288,10.848660131295523,11.065234637260437,11.392776489257812,11.721038099129995,11.938482256730397,12.131963368256887,12.503517003854116,12.933861128489177,13.236259694894155,13.56819874048233,13.75711319843928,14.119750074545543,14.320387438933055,14.626235846678416
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,753.0,610.0,645.0,477.0,386.0,396.0,311.0,448.0,338.0,155.0,420.0,270.0,154.0,243.0,240.0,237.0,267.0,374.0,327.0,150.0,244.0,224.0,313.0,208.0,287.0,744.0,274.0,432.0,243.0,584.0,270.0,420.0,232.0,440.0,242.0,254.0,419.0,415.0,260.0,238.0,504.0,600.0,416.0,455.0,246.0,503.0,262.0,422.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
