,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,431.0,1121.0,1556.0,1901.0,2900.0,3770.0,4390.0,5389.0,6388.0,7387.0,8386.0,9385.0,10384.0,11383.0,12382.0,13381.0,14380.0,15379.0,16378.0,17377.0,18376.0,19375.0
Episode reward,0.0,84.1156947067985,77.78777261655085,85.28807661370075,87.72492297940676,-30.48128416812943,69.09785544832098,79.20201932511807,-30.859262758244657,-30.035414330897318,-27.382687630689105,-27.095750357377902,-28.971569293130685,-27.796650599831395,-29.22012473549866,-28.52914758457229,-28.642706735259765,-29.301598586463555,-29.832523197292772,-28.183521707458482,-29.072985408361866,-30.706097811193736,-28.583061014091466
Episode feedback,0.8,0.5244755232529709,0.44702467279096564,0.3387096766389178,0.27906976663061117,0.20941883746551218,0.1737629457148873,0.11147011290554101,0.08917835662406978,0.04208416829450484,0.03907815627346878,0.01903807613322838,0.0100200400701202,0.007014028049084141,0.0030060120210360602,0.0060120240420721205,0.00400801602804808,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,31.167787551879883,78.59272360801697,105.60781192779541,127.00548267364502,186.72886490821838,237.73131394386292,271.9774634838104,326.6467568874359,377.0927686691284,425.81956577301025,473.7229037284851,522.5008580684662,571.1221058368683,621.8666844367981,671.7677576541901,720.0648844242096,766.5218181610107,812.9619135856628,859.1769857406616,905.3193287849426,951.8951513767242,998.7260794639587
total minutes,0.0,0.5194631258646647,1.3098787268002827,1.7601301987965903,2.11675804456075,3.1121477484703064,3.9621885657310485,4.532957724730173,5.4441126147905985,6.284879477818807,7.096992762883504,7.895381728808085,8.708347634474437,9.518701763947805,10.364444740613301,11.196129294236501,12.00108140707016,12.775363636016845,13.549365226427714,14.319616429011027,15.088655479749043,15.86491918961207,16.645434657732647
cummulative feedback,0.0,225.0,533.0,680.0,776.0,985.0,1136.0,1205.0,1294.0,1336.0,1375.0,1394.0,1404.0,1411.0,1414.0,1420.0,1424.0,1425.0,1426.0,1426.0,1426.0,1426.0,1426.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,429.0,689.0,434.0,344.0,998.0,869.0,619.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
