,0,1,2,3,4
Accumulated time steps,0.0,371.0,711.0,1085.0,1347.0
Episode reward,0.0,82.11501615902178,83.9046253091926,81.4310926882209,88.92783389648264
Episode feedback,0.8,0.3739837388238923,0.4070796448168742,0.305630025990268,0.3524904201054007
total seconds,0.0,24.771901845932007,49.02960658073425,75.92646789550781,94.8234543800354
total minutes,0.0,0.41286503076553344,0.8171601096789042,1.2654411315917968,1.5803909063339234
cummulative feedback,0.0,138.0,276.0,390.0,482.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,369.0,339.0,373.0,261.0
e,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0
