,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,651.0,1551.0,2550.0,2979.0,3646.0,3994.0,4362.0,5120.0,5610.0,6180.0,6941.0,7606.0,8103.0,9102.0,10101.0,10495.0,11362.0,12361.0,13360.0,14313.0,15275.0,16274.0,16924.0,17571.0,18570.0,19569.0
Episode reward,0.0,68.90528042089989,52.83059664091411,-45.967851643767695,72.53559126468771,55.36672275512893,74.28807942940662,87.9575373672704,64.95124589509322,82.10031714656456,73.79199791442635,74.68173678853559,62.80586755501512,87.29151301847833,-37.507743194980925,-28.36190080397082,88.8815358451961,74.98218492828319,-24.94622765083875,-44.145624191298914,84.1240134028331,74.3620793829465,-30.840018842352926,83.09218288847057,80.86352071372895,-33.86752728117629,-32.636840763662335
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,26.62697434425354,64.87411284446716,107.92138504981995,131.68993377685547,160.04811549186707,175.645250082016,192.0009570121765,224.81993103027344,246.62146520614624,271.31062841415405,304.38438844680786,332.9677176475525,354.3261618614197,396.6328945159912,439.2877607345581,456.4259886741638,493.6697676181793,535.8913192749023,578.5596699714661,618.9914207458496,659.6728529930115,701.1754348278046,729.0552854537964,757.3448946475983,799.9684295654297,842.6334726810455
total minutes,0.0,0.443782905737559,1.0812352140744528,1.7986897508303323,2.1948322296142577,2.667468591531118,2.9274208347002664,3.2000159502029417,3.7469988505045575,4.11035775343577,4.5218438069025675,5.073073140780131,5.5494619607925415,5.905436031023661,6.610548241933187,7.321462678909302,7.607099811236064,8.227829460302988,8.931521987915039,9.6426611661911,10.316523679097493,10.994547549883524,11.686257247130076,12.15092142422994,12.622414910793305,13.332807159423828,14.04389121135076
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,649.0,899.0,998.0,428.0,666.0,347.0,367.0,757.0,489.0,569.0,760.0,664.0,496.0,998.0,998.0,393.0,866.0,998.0,998.0,952.0,961.0,998.0,649.0,646.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
