,0,1,2,3
Accumulated time steps,0.0,52.0,103.0,154.0
Episode reward,0.0,-2.754042407975696,-3.3858748690340144,-3.8302516389368293
Episode feedback,0.8,0.11999999760000006,0.13999999720000006,0.13999999720000006
total seconds,0.0,2.464632987976074,5.766383409500122,9.40010142326355
total minutes,0.0,0.041077216466267906,0.09610639015833537,0.1566683570543925
cummulative feedback,0.0,6.0,13.0,20.0
Ph,0.8,0.9,0.9,0.9
steps_that_episode,0.0,50.0,50.0,50.0
e,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0
