,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,751.0,1431.0,1774.0,2027.0,2375.0,2919.0,3352.0,4212.0,5211.0,6210.0,7209.0,8208.0,9207.0,10206.0,11205.0,12204.0,13108.0,14107.0,15106.0,16105.0,17104.0,17950.0,18949.0,19948.0
Episode reward,0.0,35.579062328635786,37.229148572033495,72.1412586489727,90.42068038334729,76.85986249022076,53.661919496800394,63.37746438158066,30.308841200642803,-7.1831436983298405,-65.46132317089852,-99.73635990240018,-40.99670297299879,-20.334545594781183,-92.31856792458892,-5.845280108610836,-0.44059858638247085,14.398194581015531,-74.55278615036032,-99.84714885895798,-99.832752075536,-99.77962072220609,38.24234440003464,-96.76571308732903,-0.06235870085925564
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,30.09670615196228,58.17477583885193,73.11744546890259,84.57007384300232,99.6689395904541,123.21697950363159,142.02617168426514,178.11335396766663,219.9409625530243,261.6832060813904,303.6720690727234,345.68523836135864,387.75788140296936,429.77415657043457,471.9374318122864,513.5898625850677,551.5665457248688,593.2453479766846,636.4109225273132,679.4939980506897,722.461409330368,759.0829939842224,802.0507531166077,845.0677831172943
total minutes,0.0,0.5016117691993713,0.9695795973141988,1.2186240911483766,1.4095012307167054,1.661148993174235,2.0536163250605264,2.367102861404419,2.9685558994611103,3.6656827092170716,4.361386768023173,5.061201151212057,5.761420639355977,6.462631356716156,7.162902609507243,7.865623863538106,8.559831043084463,9.192775762081146,9.887422466278077,10.606848708788554,11.324899967511495,12.041023488839468,12.651383233070373,13.367512551943461,14.084463051954906
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,749.0,679.0,342.0,252.0,347.0,543.0,432.0,859.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,903.0,998.0,998.0,998.0,998.0,845.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
