,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Accumulated time steps,0.0,640.0,1262.0,1633.0,2093.0,2433.0,3190.0,3565.0,4257.0,4976.0,5780.0,6428.0,7232.0,7870.0,8869.0,9694.0,10006.0,10522.0,11006.0,11447.0,12446.0,13352.0,13759.0,14449.0,14737.0,15040.0,15496.0,15796.0,16087.0,16777.0,17250.0,17973.0,18587.0,19308.0
Episode reward,0.0,69.19618387061914,67.41503915357028,82.92126061355584,78.75933256627405,86.19696872157293,70.36178791098907,83.25717676218576,67.03850246070097,70.18570780956779,76.61139449499392,83.36892627481826,71.03212325998754,73.3079643750226,-27.262394245002138,68.14113797356441,91.3632838770602,79.99487372174968,86.88151627759675,86.72907839104484,-34.67474417539538,68.62207168413579,89.98129233352999,80.47883135192787,90.44809135318606,86.25399757835334,85.23778179902168,89.76636686237725,89.12090134049065,79.84897327545687,85.12956312392204,71.89994034466588,75.25535731381737,74.66298741497306
Episode feedback,0.8,0.3620689649497352,0.23832528141976606,0.26756756684441196,0.2200435725053517,0.18289085491772608,0.17328042305121638,0.13101604243043838,0.0955137480528021,0.08356545949364143,0.05354919046880549,0.035548686189260145,0.038605230337976054,0.026687598074273785,0.0150300601051803,0.010922330083832124,0.00643086814652454,0.005825242707135451,0.008281573481818688,0.00681818180268595,0.00200400801402404,0.004419889497878575,0.0024630541811254823,0.0029027576155257508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,39.16238594055176,74.96302032470703,97.27475929260254,123.71167731285095,142.93525886535645,185.07887935638428,205.42146277427673,240.85468435287476,277.2241401672363,316.89196729660034,348.8102397918701,388.0960352420807,419.0655794143677,466.70461106300354,506.18574929237366,521.5342743396759,546.288327217102,569.7307779788971,591.3674716949463,637.9798293113708,680.2912313938141,700.0561740398407,732.4638528823853,746.5171940326691,761.3287699222565,783.2794139385223,798.0393762588501,812.3032686710358,844.9772615432739,867.6123089790344,901.779335975647,931.111049413681,965.2960166931152
total minutes,0.0,0.6527064323425293,1.2493836720784506,1.6212459882100423,2.061861288547516,2.3822543144226076,3.0846479892730714,3.4236910462379457,4.014244739214579,4.6204023361206055,5.281532788276673,5.813503996531169,6.468267254034678,6.984426323572794,7.778410184383392,8.436429154872894,8.692237905661266,9.104805453618367,9.495512966314951,9.856124528249104,10.632997155189514,11.338187189896901,11.667602900664011,12.207730881373088,12.441953233877818,12.688812832037607,13.054656898975372,13.300656270980834,13.538387811183929,14.082954359054565,14.460205149650573,15.029655599594117,15.518517490228017,16.088266944885255
cummulative feedback,0.0,231.0,379.0,478.0,579.0,641.0,772.0,821.0,887.0,947.0,990.0,1013.0,1044.0,1061.0,1076.0,1085.0,1087.0,1090.0,1094.0,1097.0,1099.0,1103.0,1104.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,638.0,621.0,370.0,459.0,339.0,756.0,374.0,691.0,718.0,803.0,647.0,803.0,637.0,998.0,824.0,311.0,515.0,483.0,440.0,998.0,905.0,406.0,689.0,287.0,302.0,455.0,299.0,290.0,689.0,472.0,722.0,613.0,720.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
