,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,373.0,648.0,924.0,1549.0,1809.0,2723.0,3722.0,4252.0,4872.0,5483.0,6423.0,6652.0,6999.0,7581.0,8090.0,8966.0,9387.0,10210.0,10945.0,11406.0,12045.0,12603.0,13110.0,13812.0,14811.0,15775.0,16384.0,17006.0,17570.0,18224.0,19205.0
Episode reward,0.0,82.79337548455368,85.92258319908134,85.36694297290514,68.10741557921924,88.45191039861919,56.90422499659081,-55.06723866702442,73.27336390520206,69.85861919267083,78.42588954045058,63.65712893205535,88.75461505983453,82.36175742623674,80.16583436663765,83.42152382285474,64.79569412447188,82.10581755656365,71.5533458819863,81.22614047039465,85.55600504572021,77.84028404434781,84.08653385129429,86.90054652229423,77.14688675528843,-27.343315011889068,66.06942144163455,85.83485868495973,76.97556610117365,79.91344789638211,82.10332498085643,65.42005120582007
Episode feedback,0.8,0.4743935297186158,0.26277372166870905,0.2618181808661157,0.22115384579943295,0.189189188458729,0.16429353760756457,0.07715430853992554,0.07372400742207182,0.05815831977680401,0.09016393427841977,0.043663471731987785,0.03947368403739612,0.02890173402051522,0.03614457825104203,0.02165354326446153,0.007999999990857144,0.009523809501133787,0.008515815074798278,0.0,0.002173913038752363,0.00470219434999656,0.001795332133222025,0.0019762845810745366,0.0014265335215028054,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0020408163244481467
total seconds,0.0,24.299942016601562,41.04425239562988,58.061156034469604,93.72141909599304,108.79835653305054,157.8042938709259,207.85096311569214,234.65640878677368,265.6675407886505,297.066278219223,342.717050075531,354.6523406505585,371.96652936935425,400.7182824611664,425.78467416763306,467.13160824775696,487.54265904426575,527.0162680149078,561.6618614196777,584.0426619052887,614.5580832958221,641.1158664226532,665.1061706542969,698.1369397640228,744.7976105213165,789.7250280380249,818.5930662155151,847.8973331451416,874.5569672584534,905.4286291599274,951.293671131134
total minutes,0.0,0.40499903361002604,0.6840708732604981,0.9676859339078268,1.562023651599884,1.8133059422175088,2.630071564515432,3.464182718594869,3.910940146446228,4.427792346477508,4.951104636987051,5.711950834592184,5.910872344175974,6.1994421561559045,6.67863804101944,7.096411236127218,7.785526804129282,8.125710984071096,8.783604466915131,9.361031023661296,9.734044365088145,10.242634721597035,10.685264440377553,11.085102844238282,11.635615662733715,12.413293508688609,13.162083800633749,13.643217770258586,14.131622219085694,14.575949454307557,15.090477152665455,15.854894518852234
cummulative feedback,0.0,176.0,248.0,320.0,458.0,507.0,657.0,734.0,773.0,809.0,864.0,905.0,914.0,924.0,945.0,956.0,963.0,967.0,974.0,974.0,975.0,978.0,979.0,980.0,981.0,982.0,982.0,982.0,982.0,982.0,982.0,984.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,371.0,274.0,275.0,624.0,259.0,913.0,998.0,529.0,619.0,610.0,939.0,228.0,346.0,581.0,508.0,875.0,420.0,822.0,734.0,460.0,638.0,557.0,506.0,701.0,998.0,963.0,608.0,621.0,563.0,653.0,980.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
