,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Accumulated time steps,0.0,527.0,1526.0,2123.0,2453.0,3038.0,3539.0,3858.0,4206.0,4719.0,5234.0,5775.0,6592.0,7211.0,7609.0,7860.0,8131.0,8392.0,8735.0,9081.0,9341.0,9684.0,10067.0,10354.0,10634.0,11231.0,11674.0,12139.0,12316.0,12492.0,13118.0,13376.0,13653.0,14121.0,14417.0,14687.0,14972.0,15247.0,15463.0,15738.0,16008.0,16186.0,16360.0,16636.0,16922.0,17211.0,17680.0,17964.0
Episode reward,0.0,86.11499428851675,-6.6576980276564965,78.9644803772425,84.46755691386976,73.03307310871978,89.61719825049849,94.9243745683469,84.78868392238077,77.47846398304824,67.69606043552346,64.21041780316304,64.93384077200612,75.29822148117088,82.71412014336443,86.65930114930617,85.1690728984759,86.46913364929227,79.5382563860025,80.0564945760795,87.94245291729733,80.59709297224768,80.93049571539446,84.00765842121072,85.29763766379554,72.81149970245123,74.24617737236942,72.717911351001,88.92710214619446,89.02870569446372,63.897019315439834,85.46858158276484,86.9482720596379,79.4852703568783,82.7584002896461,86.99189429654189,84.39473633437308,87.09786912251491,87.00698358468318,85.99594821810456,87.1982592864323,90.56212230885656,90.86612882646128,85.85715301200237,83.96093516128497,83.58664292008757,78.82980252623135,84.40059420810455
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,24.10852313041687,71.17475414276123,99.66791439056396,115.86426329612732,143.82871961593628,167.7567789554596,183.34778428077698,200.34617567062378,225.18590116500854,249.98208737373352,275.8612539768219,314.2011353969574,343.64950609207153,363.0845503807068,375.569890499115,389.0460169315338,402.0558397769928,418.7515971660614,435.6895296573639,448.68304228782654,465.3001546859741,483.8699355125427,497.9910206794739,511.8673691749573,540.5532851219177,562.0035400390625,584.4262473583221,593.5588004589081,602.6383950710297,632.3341865539551,645.2680616378784,658.8831861019135,681.3599724769592,696.0237789154053,709.4694728851318,723.6178267002106,737.2487988471985,748.157707452774,761.817724943161,775.0653660297394,783.9778480529785,793.0379164218903,806.875993013382,821.1577796936035,835.4351508617401,858.1678729057312,872.2988657951355
total minutes,0.0,0.4018087188402812,1.186245902379354,1.6611319065093995,1.9310710549354553,2.397145326932271,2.7959463159243265,3.0557964046796164,3.33910292784373,3.7530983527501425,4.166368122895559,4.597687566280365,5.23668558994929,5.727491768201192,6.05140917301178,6.25949817498525,6.48410028219223,6.70093066294988,6.979193286101023,7.261492160956065,7.478050704797109,7.755002578099568,8.064498925209046,8.299850344657898,8.531122819582622,9.009221418698628,9.366725667317708,9.740437455972035,9.892646674315134,10.043973251183827,10.538903109232585,10.75446769396464,10.98138643503189,11.355999541282653,11.600396315256754,11.824491214752197,12.060297111670176,12.28747998078664,12.4692951242129,12.696962082386017,12.917756100495657,13.066297467549642,13.217298607031504,13.4479332168897,13.685962994893393,13.923919181029001,14.302797881762187,14.538314429918925
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,525.0,998.0,596.0,329.0,584.0,500.0,318.0,347.0,512.0,514.0,540.0,816.0,618.0,397.0,250.0,270.0,260.0,342.0,345.0,259.0,342.0,382.0,286.0,279.0,596.0,442.0,464.0,176.0,175.0,625.0,257.0,276.0,467.0,295.0,269.0,284.0,274.0,215.0,274.0,269.0,177.0,173.0,275.0,285.0,288.0,468.0,283.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
