,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,556.0,840.0,1296.0,1937.0,2474.0,3000.0,3999.0,4870.0,5193.0,5547.0,6285.0,6538.0,7340.0,8009.0,8662.0,9102.0,9821.0,10450.0,11100.0,12099.0,13098.0,14038.0,15037.0,16036.0,17035.0,17671.0,18670.0,19639.0,20365.0
Episode reward,0.0,74.04843239063462,85.2549400062966,78.76831029313598,69.60010450606522,74.23105322629368,74.25762160310721,-47.20619367459044,67.38479090460999,88.8367098132672,83.21230250537062,72.0371703743694,88.26590489332935,70.75092737714732,74.49443610137803,76.51170411972468,87.68795160324146,79.71474379575295,81.71386205681382,80.16348258039821,-30.78029014974851,-32.39463456729442,75.38573582286057,-34.330436541596335,-36.36031804524891,-36.11833445439639,80.98755556513986,-29.840454738748605,69.91722918984522,74.88174907547068
Episode feedback,0.8,0.39350180434385956,0.29681978693703254,0.2835164828933704,0.24062499962402345,0.20335820857582423,0.13142857117823128,0.10020040070120201,0.08275862059453032,0.05590062094440801,0.05949008481730854,0.04884667564606964,0.055555555335097005,0.034956304575585136,0.023952095772526803,0.01533742328935978,0.015945330259805626,0.011142061265818856,0.009554140112174937,0.0030816640938649245,0.00400801602804808,0.0030060120210360602,0.0010649627251704337,0.0030060120210360602,0.00100200400701202,0.0,0.0015748031471262943,0.0,0.0,0.0
total seconds,0.0,37.16161799430847,56.20684480667114,85.90941834449768,126.62747311592102,161.03811597824097,192.0690770149231,247.88263487815857,295.31433033943176,313.0800607204437,332.23480463027954,370.8363525867462,384.82359528541565,425.7195167541504,459.88606905937195,492.7389929294586,515.3619439601898,551.1012823581696,582.4242150783539,614.778909444809,663.8149888515472,712.7594892978668,760.3955185413361,811.9332039356232,862.0336563587189,911.9912605285645,943.6367392539978,992.9370698928833,1041.0619609355927,1077.129314661026
total minutes,0.0,0.6193602999051412,0.9367807467778524,1.4318236390749612,2.11045788526535,2.6839685996373492,3.2011512835820515,4.13137724796931,4.921905505657196,5.218001012007395,5.537246743837993,6.18060587644577,6.4137265880902605,7.09532527923584,7.664767817656199,8.21231654882431,8.58936573266983,9.18502137263616,9.707070251305899,10.246315157413482,11.063583147525787,11.879324821631114,12.6732586423556,13.53222006559372,14.367227605978648,15.199854342142741,15.72727898756663,16.548951164881387,17.351032682259877,17.952155244350433
cummulative feedback,0.0,218.0,302.0,431.0,585.0,694.0,763.0,863.0,935.0,953.0,974.0,1010.0,1024.0,1052.0,1068.0,1078.0,1085.0,1093.0,1099.0,1101.0,1105.0,1108.0,1109.0,1112.0,1113.0,1113.0,1114.0,1114.0,1114.0,1114.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,554.0,283.0,455.0,640.0,536.0,525.0,998.0,870.0,322.0,353.0,737.0,252.0,801.0,668.0,652.0,439.0,718.0,628.0,649.0,998.0,998.0,939.0,998.0,998.0,998.0,635.0,998.0,968.0,725.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
