,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Accumulated time steps,0.0,1000.0,1999.0,2576.0,3575.0,4574.0,4953.0,5952.0,6603.0,6958.0,7351.0,7613.0,8215.0,8615.0,8886.0,9242.0,9732.0,9905.0,10198.0,10450.0,10913.0,11251.0,11605.0,11871.0,12233.0,12680.0,12962.0,13209.0,13819.0,14505.0,14937.0,15278.0,15527.0,15867.0,16118.0,16633.0,17200.0,17626.0,17879.0,18129.0,18736.0,19265.0,19606.0,19947.0
Episode reward,0.0,-64.06801596375122,-59.06340593308514,70.22115912900585,-62.502480955350165,-61.73695008716611,78.83736352169494,-64.17464399298724,66.86165063621164,81.31273448180288,78.81030567186107,87.0551437026343,64.13936433265104,75.08656931901498,82.73687387957324,83.09563367730513,67.93989850432045,89.5029528996352,83.27347979902247,83.41215276397477,68.00713952662741,80.27084941342557,81.28149756927718,87.70211580499766,79.4122087994059,71.94267065688018,84.71641231430887,85.00051929805201,64.63616119709232,57.947639767635394,73.8728671782253,78.81651309168869,84.67217913362595,78.9784548470081,84.88610105391153,67.99463321903723,64.18984162385725,74.04396507430188,84.77767271561909,84.91942629158265,62.87743190064805,66.37554017784647,79.47929972609396,79.46661083796687
Episode feedback,0.8,0.0100200400701202,0.18236472927618766,0.09374999983723958,0.013026052091156261,0.0400801602804808,0.05555555540858319,0.01102204407713222,0.02307692304142012,0.01129943499632928,0.015306122409933362,0.011494252829523936,0.00831946754023383,0.010025062631516134,0.011111111069958848,0.008450704201547312,0.006134969312607425,0.005813953454570038,0.003424657522518296,0.0,0.0,0.005934718083279768,0.002832861181776597,0.0,0.0027700830948197146,0.0022421524613404653,0.0035587188485454845,0.0,0.0016420361220984628,0.0014598540124673663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.63246726989746,101.0211706161499,131.02212572097778,180.14289617538452,231.1112096309662,250.5555214881897,300.66855812072754,333.5497214794159,351.9869554042816,372.1922416687012,386.02933168411255,416.68337869644165,437.2659397125244,451.4730587005615,470.0968735218048,495.0152564048767,504.54415249824524,519.7563643455505,533.1507241725922,556.9748573303223,574.5388708114624,592.7454354763031,606.7825031280518,625.5579092502594,648.6058809757233,663.5495083332062,676.6023051738739,707.4519879817963,742.0327527523041,764.1922028064728,781.937616109848,795.049881696701,812.3550639152527,825.5468423366547,850.9630966186523,877.8234355449677,898.8799915313721,911.4396405220032,924.0060338973999,952.5915772914886,977.5629591941833,994.1226999759674,1010.6889271736145
total minutes,0.0,0.7605411211649576,1.6836861769358318,2.18370209534963,3.002381602923075,3.8518534938494366,4.175925358136495,5.011142635345459,5.559162024656931,5.866449256738027,6.203204027811686,6.433822194735209,6.944722978274028,7.287765661875407,7.524550978342692,7.834947892030081,8.250254273414612,8.409069208304087,8.662606072425842,8.885845402876535,9.282914288838704,9.575647846857708,9.879090591271718,10.113041718800863,10.42596515417099,10.810098016262055,11.059158472220103,11.276705086231232,11.790866466363271,12.367212545871734,12.736536713441213,13.0322936018308,13.250831361611684,13.539251065254211,13.759114038944244,14.182718276977539,14.630390592416127,14.981333192189535,15.19066067536672,15.400100564956665,15.876526288191478,16.29271598656972,16.568711666266122,16.844815452893574
cummulative feedback,0.0,10.0,192.0,246.0,259.0,299.0,320.0,331.0,346.0,350.0,356.0,359.0,364.0,368.0,371.0,374.0,377.0,378.0,379.0,379.0,379.0,381.0,382.0,382.0,383.0,384.0,385.0,385.0,386.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,576.0,998.0,998.0,378.0,998.0,650.0,354.0,392.0,261.0,601.0,399.0,270.0,355.0,489.0,172.0,292.0,251.0,462.0,337.0,353.0,265.0,361.0,446.0,281.0,246.0,609.0,685.0,431.0,340.0,248.0,339.0,250.0,514.0,566.0,425.0,252.0,249.0,606.0,528.0,340.0,340.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
