,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,559.0,1291.0,1714.0,2399.0,2655.0,2940.0,3718.0,4239.0,5238.0,6237.0,7236.0,7997.0,8996.0,9995.0,10752.0,11751.0,12750.0,13253.0,14252.0,15251.0,16250.0,17249.0,17815.0,18814.0,19813.0,20812.0
Episode reward,0.0,76.24999678250717,68.684120960917,82.19143875687422,70.08594345234842,88.39075242313332,87.23849619518485,69.89598780662577,79.5722034716906,-40.40224060024742,-35.6535140889043,-34.9523778004616,69.43022000811598,-36.37261076052924,-37.5491477538959,72.52105454672966,-37.35344951967336,-36.68651626062769,77.38235000602165,-40.729595918351094,-38.864611266471485,-41.167602633321465,-37.824463008861244,78.7903394021994,-36.29489622546126,-38.15577394130037,-37.1894126130202
Episode feedback,0.8,0.4183123870407318,0.30642954814441925,0.28909952538128075,0.21491228038755514,0.1568627444828912,0.151408450171097,0.13642213624656097,0.11923076900147929,0.08717434861004575,0.054108216378649085,0.03607214425243272,0.01842105260734072,0.01603206411219232,0.00901803606310818,0.011904761889014865,0.0030060120210360602,0.0060120240420721205,0.0059760956056253076,0.00200400801402404,0.0,0.0,0.0,0.0,0.00100200400701202,0.0,0.0
total seconds,0.0,40.14513325691223,94.879962682724,125.15431022644043,170.7366669178009,187.74766039848328,205.24696564674377,250.44470524787903,280.42053866386414,334.66208958625793,386.2906746864319,437.08507204055786,475.1649594306946,524.8996486663818,574.2339200973511,612.1591460704803,661.0978441238403,710.6013958454132,735.9193487167358,784.6384034156799,833.5128860473633,882.2757833003998,931.4458115100861,960.0048336982727,1009.2648153305054,1060.7029383182526,1112.5447833538055
total minutes,0.0,0.6690855542818706,1.5813327113787332,2.085905170440674,2.845611115296682,3.1291276733080546,3.420782760779063,4.174078420797984,4.673675644397735,5.577701493104299,6.4381779114405315,7.284751200675965,7.919415990511577,8.74832747777303,9.570565334955852,10.202652434508005,11.018297402064006,11.843356597423554,12.265322478612264,13.077306723594665,13.891881434122721,14.704596388339997,15.524096858501434,16.00008056163788,16.821080255508424,17.678382305304208,18.54241305589676
cummulative feedback,0.0,233.0,457.0,579.0,726.0,766.0,809.0,915.0,977.0,1064.0,1118.0,1154.0,1168.0,1184.0,1193.0,1202.0,1205.0,1211.0,1214.0,1216.0,1216.0,1216.0,1216.0,1216.0,1217.0,1217.0,1217.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,557.0,731.0,422.0,684.0,255.0,284.0,777.0,520.0,998.0,998.0,998.0,760.0,998.0,998.0,756.0,998.0,998.0,502.0,998.0,998.0,998.0,998.0,565.0,998.0,998.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
