,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.8275034225377302,-3.78585133471125,-3.608041549282408,-4.313375367187928
Episode feedback,0.8,0.14285713994169102,0.24489795418575605,0.20408162848813005,0.3469387684298211
total seconds,0.0,2.282318592071533,5.589510679244995,9.633693218231201,14.18506646156311
total minutes,0.0,0.03803864320119222,0.09315851132074991,0.1605615536371867,0.23641777435938519
cummulative feedback,0.0,7.0,19.0,29.0,46.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.1,0.1,0.1,0.1,0.1
buffer size,1012.0,1012.0,1012.0,1012.0,1012.0
human model,1.0,1.0,1.0,1.0,1.0
