,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,360.0,698.0,956.0,1494.0,2464.0,2905.0,3426.0,4340.0,5200.0,5800.0,6799.0,7632.0,8631.0,9384.0,10383.0,11236.0,12235.0,13234.0,13998.0,14732.0,15731.0,16238.0,16940.0,17686.0,18539.0,19538.0,20537.0
Episode reward,0.0,84.1288365876032,86.89626227713671,87.37679997549445,77.31233952459749,57.51681475790377,81.67176956683733,79.732508676493,61.794330729152314,63.49279726518979,76.18162675037411,-41.81083467995282,63.489106415204354,-39.73423193912539,68.99322638343679,-38.36054154510876,68.18114433691774,-40.562487206095106,-40.50498234050367,68.54974617654398,70.03320729779875,-40.6216368840377,78.60616397779236,73.98104091516915,70.10495562169586,68.16108903969436,-40.93912390479488,-35.576513355975024
Episode feedback,0.8,0.4273743004821947,0.42136498391286353,0.3540856017350755,0.2942271875340276,0.1991744063992008,0.19772727227789255,0.18846153809911242,0.09967141281525585,0.07101280550522374,0.05342237052851023,0.048096192336576964,0.03245192303791836,0.01903807613322838,0.01595744678729063,0.007014028049084141,0.0035211267564306025,0.0050100200350601,0.00100200400701202,0.0026212319755947156,0.0,0.0,0.0,0.0014265335215028054,0.0,0.0,0.0,0.0
total seconds,0.0,24.25130009651184,49.63686656951904,69.93090629577637,108.31245255470276,168.30699157714844,195.51133060455322,226.84498286247253,276.5939910411835,323.04238963127136,357.7519714832306,410.48654985427856,453.31169533729553,503.52244329452515,541.380585193634,590.806755065918,633.4864735603333,682.4664213657379,731.3652667999268,768.696661233902,804.8063163757324,853.6239259243011,878.8169946670532,913.6472504138947,950.638986825943,992.6344726085663,1041.6399040222168,1090.449761390686
total minutes,0.0,0.404188334941864,0.8272811094919841,1.1655151049296062,1.8052075425783793,2.8051165262858073,3.2585221767425536,3.7807497143745423,4.609899850686391,5.3840398271878565,5.9625328580538435,6.841442497571309,7.555194922288259,8.39204072157542,9.023009753227234,9.846779251098633,10.55810789267222,11.374440356095631,12.189421113332113,12.811611020565033,13.413438606262208,14.227065432071687,14.646949911117554,15.227454173564912,15.843983113765717,16.54390787680944,17.360665067036948,18.174162689844767
cummulative feedback,0.0,153.0,295.0,386.0,544.0,737.0,824.0,922.0,1013.0,1074.0,1106.0,1154.0,1181.0,1200.0,1212.0,1219.0,1222.0,1227.0,1228.0,1230.0,1230.0,1230.0,1230.0,1231.0,1231.0,1231.0,1231.0,1231.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,358.0,337.0,257.0,537.0,969.0,440.0,520.0,913.0,859.0,599.0,998.0,832.0,998.0,752.0,998.0,852.0,998.0,998.0,763.0,733.0,998.0,506.0,701.0,745.0,852.0,998.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
