,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Accumulated time steps,0.0,1000.0,1999.0,2630.0,3161.0,4000.0,4566.0,4819.0,5507.0,5761.0,6372.0,6623.0,6890.0,7169.0,7704.0,7973.0,8419.0,8881.0,9221.0,9914.0,10164.0,10596.0,10882.0,11153.0,11755.0,12032.0,12388.0,12727.0,13189.0,13441.0,13867.0,14121.0,14459.0,14985.0,15252.0,15855.0,16193.0,16744.0,17170.0,17512.0,17763.0,18215.0,18480.0,19002.0
Episode reward,0.0,-62.61772678690298,-43.92715417377834,88.58619229705432,63.36280561954286,47.26476606458425,89.4302211240579,80.45234278429089,61.58167164525454,86.53761268709964,68.36559783502184,81.87806301811317,85.49530097991948,84.8743875739346,61.48429797717164,86.84014326427115,71.23508137651643,79.232314938743,78.25738856262518,54.56987563509164,83.74324736354973,72.05260728746893,84.89602285433483,86.82264532453078,61.279815006853575,85.96442358000427,77.26789998532348,79.12879055705399,81.98008168376623,84.83577941327202,73.81363378285381,84.71346925556558,79.38550392535427,67.94324101402115,83.64932175077192,62.32782030468594,79.27942792177093,65.72522484563427,73.80506136903148,79.42899544059634,84.89527869751221,72.26225835174236,83.82235255748469,67.13042904628247
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.94715666770935,86.395498752594,114.06139039993286,137.8299322128296,174.69096970558167,200.10090160369873,211.8452751636505,241.71711683273315,253.47752904891968,280.3900988101959,291.9189348220825,304.3845224380493,317.2553629875183,341.5729706287384,354.10999608039856,374.70925784111023,395.89543104171753,411.3373291492462,441.5397078990936,453.18810963630676,472.8972203731537,486.1451895236969,498.89654564857483,525.3419721126556,538.3048415184021,554.5134422779083,570.2690851688385,590.8789849281311,603.2765743732452,622.4219586849213,634.1007761955261,649.6056528091431,673.2327268123627,685.6345431804657,712.527979850769,727.8274285793304,752.304178237915,771.7460758686066,787.3459324836731,798.7570865154266,818.9749205112457,831.3143038749695,854.5960104465485
total minutes,0.0,0.7157859444618225,1.4399249792098998,1.9010231733322143,2.297165536880493,2.9115161617596943,3.3350150267283123,3.530754586060842,4.028618613878886,4.224625484148661,4.673168313503266,4.865315580368042,5.073075373967488,5.287589383125305,5.692882843812307,5.9018332680066425,6.245154297351837,6.5982571840286255,6.855622152487437,7.35899513165156,7.5531351606051125,7.881620339552561,8.102419825394948,8.314942427476247,8.755699535210928,8.971747358640036,9.241890704631805,9.504484752813974,9.847983082135519,10.05460957288742,10.373699311415354,10.568346269925435,10.826760880152385,11.22054544687271,11.427242386341096,11.87546633084615,12.13045714298884,12.538402970631918,12.86243459781011,13.122432208061218,13.312618108590444,13.649582008520762,13.855238397916159,14.243266840775808
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,630.0,530.0,838.0,565.0,252.0,687.0,253.0,610.0,250.0,266.0,278.0,534.0,268.0,445.0,461.0,339.0,692.0,249.0,431.0,285.0,270.0,601.0,276.0,355.0,338.0,461.0,251.0,425.0,253.0,337.0,525.0,266.0,602.0,337.0,550.0,425.0,341.0,250.0,451.0,264.0,521.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
