,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5607.0,6507.0,7506.0,7938.0,8846.0,9293.0,9558.0,9909.0,10606.0,11329.0,11699.0,11967.0,12608.0,12959.0,13652.0,14025.0,14749.0,15588.0,16113.0,16460.0,16901.0,17507.0,18121.0,18564.0,19000.0
Episode reward,0.0,-67.84496545496184,-70.48224755821859,-59.07673340990743,-63.13637553994768,-77.11608681536407,61.61316070708056,29.486912365313614,-78.75822461697295,75.43690245728261,31.95345106554298,79.16004836895517,87.07021869917236,74.94080334328686,50.794650692499616,48.65190892037911,82.5033721588644,87.82888811040188,74.13602518960387,76.28324567568114,54.13756735445783,74.81525010891309,50.632793043359605,43.12542823352495,65.33621933890544,76.79197625036176,70.83114851880532,59.85144324001155,59.432112297498946,70.67149323201431,71.14635467388513
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.30196404457092,91.58974647521973,138.4011743068695,184.95857310295105,231.4824821949005,259.8621711730957,301.65184569358826,348.10714292526245,368.50441002845764,410.9646463394165,431.9889998435974,445.9638912677765,462.8206446170807,495.24830889701843,529.2562348842621,546.9235327243805,559.8924276828766,590.0202643871307,606.964414358139,639.6088080406189,657.7812886238098,691.2300345897675,730.5504426956177,755.4863321781158,772.2263398170471,793.238094329834,821.7132253646851,850.6905450820923,871.4281594753265,891.9811320304871
total minutes,0.0,0.7550327340761821,1.5264957745869954,2.306686238447825,3.082642885049184,3.8580413699150085,4.331036186218261,5.027530761559804,5.801785715421041,6.141740167140961,6.849410772323608,7.199816664059957,7.432731521129608,7.713677410284678,8.254138481616973,8.820937248071035,9.115392212073008,9.331540461381277,9.833671073118845,10.116073572635651,10.660146800676982,10.963021477063497,11.520500576496124,12.175840711593628,12.591438869635263,12.870438996950785,13.220634905497233,13.69522042274475,14.178175751368205,14.52380265792211,14.866352200508118
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,610.0,899.0,998.0,431.0,907.0,446.0,264.0,350.0,696.0,722.0,369.0,267.0,640.0,350.0,692.0,372.0,723.0,838.0,524.0,346.0,440.0,605.0,613.0,442.0,435.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
