,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.820710175950287,-3.433791278663506,-3.6405212627969514,-4.3437230874114725
Episode feedback,0.8,0.14285713994169102,0.16326530279050402,0.20408162848813005,0.22448979133694305
total seconds,0.0,2.3578739166259766,5.587504625320435,9.448830127716064,13.584711790084839
total minutes,0.0,0.039297898610432945,0.09312507708867392,0.15748050212860107,0.22641186316808065
cummulative feedback,0.0,7.0,15.0,25.0,36.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
