,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,708.0,1396.0,1836.0,2835.0,3525.0,4524.0,5523.0,6522.0,7521.0,8520.0,9519.0,10518.0,11517.0,12516.0,13515.0,14514.0,15513.0,16512.0,17511.0,18510.0,19509.0,20508.0
Episode reward,0.0,62.48328420235964,69.00821557378373,82.02547073263553,-41.065192544008156,70.2164795205347,-36.13744430504607,-39.77746224140601,-35.86936020681596,-36.29459173488182,-38.34861248012354,-36.13021740545413,-36.80420480725516,-33.6933126310538,-38.435386504403915,-37.75123984864648,-37.702624811092335,-37.587348626496045,-36.745127902297,-36.1335845492298,-36.02427712831268,-36.44638159222394,-36.63532864744589
Episode feedback,0.8,0.32577903636575206,0.2998544391559615,0.28018223170801315,0.20841683345850018,0.15820029004615344,0.14028056098168282,0.07815631254693756,0.04108216428749282,0.0200400801402404,0.026052104182312522,0.01603206411219232,0.00901803606310818,0.0050100200350601,0.007014028049084141,0.00100200400701202,0.0,0.0,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,47.87980270385742,96.54614019393921,125.95512700080872,187.1273331642151,227.35559058189392,284.1183738708496,340.56419801712036,392.6370458602905,443.20775389671326,493.68616104125977,543.6147077083588,593.3787474632263,642.2823903560638,691.5467677116394,740.4527933597565,789.1586396694183,837.6996111869812,886.7841169834137,935.7567076683044,984.9804995059967,1033.9943714141846,1083.1568670272827
total minutes,0.0,0.797996711730957,1.6091023365656534,2.0992521166801454,3.1187888860702513,3.7892598430315654,4.735306231180827,5.676069966952006,6.543950764338176,7.386795898278554,8.228102684020996,9.060245128472646,9.889645791053772,10.704706505934398,11.525779461860656,12.340879889329274,13.152643994490306,13.961660186449686,14.779735283056896,15.595945127805074,16.41634165843328,17.233239523569743,18.052614450454712
cummulative feedback,0.0,230.0,436.0,559.0,767.0,876.0,1016.0,1094.0,1135.0,1155.0,1181.0,1197.0,1206.0,1211.0,1218.0,1219.0,1219.0,1219.0,1220.0,1220.0,1220.0,1220.0,1220.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,706.0,687.0,439.0,998.0,689.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
