,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Accumulated time steps,0.0,1000.0,1999.0,2971.0,3241.0,3762.0,4162.0,4590.0,5421.0,5779.0,6355.0,6622.0,7166.0,7743.0,8183.0,8688.0,9449.0,9823.0,10093.0,10492.0,11061.0,11350.0,11930.0,12192.0,12648.0,12920.0,13186.0,13538.0,13804.0,14073.0,14339.0,14905.0,15350.0,15801.0,16153.0,16771.0,17325.0,17792.0,18051.0,18774.0,19224.0,19843.0
Episode reward,0.0,-60.811548896207384,-68.52998264241086,42.97051145096821,85.32575236812656,71.32859642632222,80.14726195010557,75.23789049561822,56.14879522878279,80.49192148463698,71.22335651044419,86.02140214628407,71.99694685187937,66.8056281838864,74.67384844411875,70.26644812225756,58.7049084269674,79.6891500713015,85.24486197272455,76.06405038553112,70.1286088330752,84.04749743571736,76.37493706471574,84.89121877106572,69.24230068105912,81.66784528929671,82.32330075751274,77.61769833413108,86.05962720889104,85.7472068796117,85.13957944233533,63.21899655251861,71.81328116556955,71.44413851508523,77.82440955630639,59.824142551048105,64.32878166345665,70.0994382541073,83.53401556952987,52.92846364940446,71.52667108245262,59.222942327326166
Episode feedback,0.8,0.19639278537435592,0.00400801602804808,0.1246138000776377,0.055762081577092636,0.04423076914571006,0.052631578815459705,0.04683840738445338,0.030120481891421105,0.016806722641997975,0.019130434749338374,0.007518796964215049,0.007366482491037786,0.008680555540485147,0.00455580864565875,0.005952380940570673,0.005263157887811634,0.008042895420796527,0.0,0.00251256280775738,0.00528169013154632,0.003472222210165895,0.0034542314275401876,0.0076628352196826234,0.0,0.0,0.0,0.0,0.0037735848914204344,0.0,0.0037735848914204344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,66.26905059814453,115.37056136131287,174.99523305892944,188.98808765411377,215.80331254005432,236.78824973106384,258.71512961387634,301.1461980342865,319.6158628463745,348.5930585861206,362.3392553329468,390.07792592048645,418.606808423996,440.68544149398804,466.30952548980713,504.02689003944397,523.4578151702881,537.7478878498077,558.0701520442963,586.0113687515259,600.6997020244598,629.4196927547455,642.3937780857086,664.1590011119843,677.7181046009064,690.9610767364502,708.3717062473297,721.9644708633423,735.3108584880829,748.7126259803772,775.8547630310059,797.2871208190918,820.008184671402,837.7887988090515,867.7705326080322,894.2582263946533,916.4632697105408,929.5532779693604,964.8387115001678,986.8049237728119,1017.6067986488342
total minutes,0.0,1.1044841766357423,1.9228426893552144,2.916587217648824,3.1498014609018963,3.596721875667572,3.946470828851064,4.311918826897939,5.019103300571442,5.326931047439575,5.809884309768677,6.0389875888824465,6.501298765341441,6.976780140399933,7.344757358233134,7.771825424830118,8.400448167324067,8.724296919504802,8.962464797496796,9.30116920073827,9.766856145858764,10.011661700407664,10.490328212579092,10.706562968095144,11.069316685199738,11.295301743348439,11.516017945607503,11.806195104122162,12.032741181055705,12.255180974801382,12.47854376633962,12.93091271718343,13.288118680318197,13.6668030778567,13.963146646817526,14.46284221013387,14.904303773244221,15.274387828509013,15.492554632822673,16.080645191669465,16.446748729546865,16.960113310813902
cummulative feedback,0.0,196.0,200.0,321.0,336.0,359.0,380.0,400.0,425.0,431.0,442.0,444.0,448.0,453.0,455.0,458.0,462.0,465.0,465.0,466.0,469.0,470.0,472.0,474.0,474.0,474.0,474.0,474.0,475.0,475.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,971.0,269.0,520.0,399.0,427.0,830.0,357.0,575.0,266.0,543.0,576.0,439.0,504.0,760.0,373.0,269.0,398.0,568.0,288.0,579.0,261.0,455.0,271.0,265.0,351.0,265.0,268.0,265.0,565.0,444.0,450.0,351.0,617.0,553.0,466.0,258.0,722.0,449.0,618.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
