,0,1,2,3,4,5
Accumulated time steps,0.0,51.0,101.0,151.0,201.0,251.0
Episode reward,0.0,-2.618001330694715,-3.447922099737369,-3.8562198728888677,-4.083239295976737,-3.9052427985360287
Episode feedback,0.8,0.16326530279050402,0.22448979133694305,0.18367346563931702,0.16326530279050402,0.10204081424406503
total seconds,0.0,2.3653502464294434,5.646072149276733,9.674494504928589,13.55007815361023,16.219287395477295
total minutes,0.0,0.03942250410715739,0.09410120248794555,0.16124157508214315,0.22583463589350383,0.27032145659128826
cummulative feedback,0.0,8.0,19.0,28.0,36.0,41.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0,1.0
