,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Accumulated time steps,0.0,1000.0,1999.0,2310.0,2561.0,3095.0,3360.0,4181.0,4318.0,5317.0,6316.0,6529.0,7008.0,7602.0,7763.0,8762.0,9761.0,10760.0,11088.0,11568.0,11792.0,12114.0,12390.0,12882.0,13221.0,13473.0,13871.0,14225.0,14554.0,14922.0,15161.0,15354.0,15713.0,15908.0,16332.0,16651.0,16807.0,17041.0,17272.0,17514.0,17824.0,18213.0,18538.0,18771.0,19094.0,19439.0,19816.0,20132.0
Episode reward,0.0,-73.48891926608479,-67.77250860061952,82.21772623660897,79.9308900116684,54.06117728327222,79.78292225854746,33.129590953263246,92.77289467078313,-88.88986372386016,-90.87114239797536,84.65723285401282,56.19597395046982,50.21082970535076,89.3761345091767,-90.64393434438244,-98.62011214667606,-91.6527962720498,83.21919425534831,79.2158272061832,89.54832780519315,85.26516159852113,92.14869245763926,82.18215078320529,85.697269812177,90.46415163189478,87.5428890779184,86.33271149528102,88.00810155713366,86.5048221513283,89.47464218917514,88.478327452983,88.0050863379315,93.49607039489324,85.63322440410883,87.212322949784,92.57253791436625,90.84239152142783,89.65039131498446,89.17905262854453,88.13875033120681,85.3063642755506,86.50337022390696,90.59470131217434,88.10631043225875,84.65394023902876,85.95589949090547,89.4207383920744
Episode feedback,0.8,0.00901803606310818,0.15330661307283908,0.19354838647242456,0.191999999232,0.12382739188775349,0.0909090905647383,0.09878048768441404,0.1470588224480969,0.05811623240669716,0.04108216428749282,0.03301886776877892,0.03974895389173859,0.020236087655588385,0.012499999921875001,0.01903807613322838,0.00901803606310818,0.0060120240420721205,0.0,0.0,0.0,0.0,0.0,0.004073319747304848,0.00295857987290361,0.0,0.0025188916813126154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00265957446101177,0.0
total seconds,0.0,46.2102472782135,115.8098030090332,139.92085719108582,159.78977012634277,196.0838761329651,213.42694687843323,266.10319232940674,276.3096926212311,336.0724024772644,393.99381041526794,407.0712022781372,434.95387530326843,468.2115545272827,477.90514039993286,533.3898649215698,587.5860815048218,641.2983195781708,660.08695936203,688.7857570648193,702.8733406066895,722.3654952049255,738.8240623474121,766.8032176494598,786.5478625297546,801.0779314041138,824.0044643878937,843.5590705871582,862.4346911907196,883.0671973228455,896.7638967037201,907.7283897399902,927.6278834342957,938.9237554073334,962.3341176509857,980.0527234077454,989.3781218528748,1002.895491361618,1016.0301175117493,1029.7831375598907,1047.3363416194916,1069.0968475341797,1087.0543448925018,1100.5590236186981,1118.742527961731,1138.2480492591858,1159.3505158424377,1177.2376084327698
total minutes,0.0,0.770170787970225,1.9301633834838867,2.332014286518097,2.663162835439046,3.268064602216085,3.5571157813072203,4.435053205490112,4.605161543687185,5.601206707954407,6.566563506921132,6.784520037968954,7.2492312550544735,7.803525908788045,7.965085673332214,8.889831082026165,9.793101358413697,10.688305326302846,11.0014493227005,11.479762617746989,11.714555676778158,12.039424920082093,12.313734372456869,12.780053627490997,13.109131042162577,13.35129885673523,13.733407739798228,14.059317843119304,14.373911519845327,14.717786622047424,14.946064945062002,15.128806495666504,15.460464723904927,15.64872925678889,16.038901960849763,16.334212056795756,16.48963536421458,16.71492485602697,16.933835291862486,17.163052292664847,17.455605693658192,17.81828079223633,18.11757241487503,18.34265039364497,18.645708799362183,18.97080082098643,19.32250859737396,19.62062680721283
cummulative feedback,0.0,9.0,162.0,222.0,270.0,336.0,360.0,441.0,461.0,519.0,560.0,567.0,586.0,598.0,600.0,619.0,628.0,634.0,634.0,634.0,634.0,634.0,634.0,636.0,637.0,637.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,639.0,639.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,310.0,250.0,533.0,264.0,820.0,136.0,998.0,998.0,212.0,478.0,593.0,160.0,998.0,998.0,998.0,327.0,479.0,223.0,321.0,275.0,491.0,338.0,251.0,397.0,353.0,328.0,367.0,238.0,192.0,358.0,194.0,423.0,318.0,155.0,233.0,230.0,241.0,309.0,388.0,324.0,232.0,322.0,344.0,376.0,315.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
