,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,521.0,1501.0,2102.0,3030.0,3756.0,4320.0,5005.0,6004.0,7003.0,8002.0,9001.0,10000.0,10999.0,11998.0,12997.0,13996.0,14995.0,15994.0,16993.0,17992.0,18991.0,19990.0,20989.0
Episode reward,0.0,75.04864029541213,57.74531574303619,75.25059962304618,63.14116080211189,70.64398709598262,75.61170916016314,70.91082064219624,-36.987733216760994,-37.75443814888525,-36.56392497542078,-34.38777179625804,-33.91129110655946,-36.20276674267181,-35.301051429612514,-34.82076885487254,-33.680490761560826,-34.3650571740682,-33.22411993815901,-34.399948406345246,-35.41852413513667,-36.4774084709479,-34.293542904564774,-34.07773855426518
Episode feedback,0.8,0.5009633901715541,0.38917262473016073,0.26999999955,0.19309600842168714,0.1517241377217598,0.12078152731655147,0.09356725132519408,0.0601202404207212,0.03807615226645676,0.033066132231396664,0.01903807613322838,0.01603206411219232,0.00801603205609616,0.0050100200350601,0.00100200400701202,0.0,0.0030060120210360602,0.00200400801402404,0.0,0.00100200400701202,0.0,0.0,0.0
total seconds,0.0,41.074230432510376,110.22666835784912,148.1418240070343,201.812429189682,242.38068795204163,272.9604637622833,309.1061728000641,359.6806204319,409.1579751968384,458.47802925109863,507.1929862499237,555.3883030414581,603.6612710952759,651.6865990161896,699.2843084335327,747.2034523487091,794.8448703289032,842.4178230762482,890.2926273345947,939.6200561523438,988.4302802085876,1037.1918227672577,1086.036516904831
total minutes,0.0,0.6845705072085063,1.8371111392974853,2.4690304001172385,3.3635404864947,4.039678132534027,4.549341062704722,5.151769546667735,5.994677007198334,6.819299586613973,7.64130048751831,8.453216437498728,9.256471717357636,10.061021184921264,10.861443316936493,11.654738473892213,12.453390872478485,13.24741450548172,14.040297051270803,14.83821045557658,15.660334269205729,16.473838003476462,17.286530379454295,18.100608615080514
cummulative feedback,0.0,260.0,641.0,803.0,982.0,1092.0,1160.0,1224.0,1284.0,1322.0,1355.0,1374.0,1390.0,1398.0,1403.0,1404.0,1404.0,1407.0,1409.0,1409.0,1410.0,1410.0,1410.0,1410.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,519.0,979.0,600.0,927.0,725.0,563.0,684.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
