,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Accumulated time steps,0.0,1000.0,1873.0,2872.0,3393.0,4230.0,4904.0,5520.0,6125.0,6380.0,6641.0,7150.0,7401.0,7828.0,8344.0,8688.0,8887.0,9154.0,9431.0,9886.0,10053.0,10217.0,10661.0,10938.0,11222.0,11603.0,11964.0,12221.0,12505.0,12691.0,13135.0,13406.0,13940.0,14205.0,14484.0,14741.0,15254.0,15679.0,16018.0,16264.0,16607.0,17030.0,17276.0,17811.0,18067.0,18326.0,18685.0,19044.0,19314.0,19845.0
Episode reward,0.0,-68.25008448726115,81.86781726361713,-25.980000811401183,87.19814652459614,40.251013305063225,54.03398871013987,58.75875087544253,62.31577111579177,85.95094656779662,86.01383096765463,70.13642282956796,86.22595594900517,77.08354825984833,69.62066781400146,84.43659545218155,88.25240690654125,84.2235029895268,87.9040248441936,74.65474025039431,90.33333222472058,90.63893392019747,77.58800705469994,82.1943607236783,82.93801532042241,78.11086402843286,80.23855322808876,86.36940768358005,83.02996785534827,90.41171812233061,76.5138302457379,84.59483539420873,67.11562286454583,82.85181144789456,81.43454564312971,83.70820216265298,68.54003887286885,74.1423061535046,79.59462097072702,85.58556930021699,79.11326059108143,75.07258285506535,85.51607316280406,76.23177793430969,87.837272796161,87.44346824104377,82.87900148196896,78.29232783786998,83.56171172618838,67.60178887344051
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.985894441604614,82.66660475730896,127.78047323226929,150.9398548603058,187.85196352005005,217.38723158836365,244.52733993530273,271.2830288410187,283.05861139297485,294.98212933540344,317.6302008628845,329.30230951309204,348.9794805049896,371.9377336502075,388.3647232055664,398.29226303100586,411.4212472438812,424.9408061504364,445.77755856513977,453.9915826320648,461.55640029907227,480.66871428489685,494.0831775665283,507.72360920906067,525.0530569553375,542.3449218273163,554.5628926753998,567.8882460594177,577.2290315628052,597.6952331066132,610.3909919261932,634.4545757770538,646.5940132141113,659.3240072727203,670.93750166893,693.1444039344788,711.6334969997406,726.6286783218384,737.827036857605,752.983186006546,771.3056025505066,782.411464214325,805.4155702590942,817.003448009491,828.6649289131165,844.3702833652496,860.0057783126831,872.0106132030487,894.7547867298126
total minutes,0.0,0.7164315740267436,1.3777767459551493,2.129674553871155,2.515664247671763,3.130866058667501,3.6231205264727273,4.075455665588379,4.5213838140169775,4.717643523216248,4.916368822256724,5.2938366810480755,5.4883718252182,5.816324675083161,6.198962227503459,6.47274538675944,6.6382043838500975,6.85702078739802,7.08234676917394,7.429625976085663,7.566526377201081,7.6926066716512045,8.011145238081614,8.234719626108806,8.462060153484344,8.75088428258896,9.03908203045527,9.24271487792333,9.464804100990296,9.620483859380085,9.961587218443553,10.173183198769888,10.574242929617563,10.776566886901856,10.988733454545338,11.182291694482167,11.552406732241312,11.86055828332901,12.11047797203064,12.297117280960084,12.549719766775768,12.855093375841777,13.04019107023875,13.42359283765157,13.616724133491516,13.811082148551941,14.072838056087495,14.333429638544718,14.533510220050811,14.91257977883021
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,872.0,998.0,520.0,836.0,673.0,615.0,604.0,254.0,260.0,508.0,250.0,426.0,515.0,343.0,198.0,266.0,276.0,454.0,166.0,163.0,443.0,276.0,283.0,380.0,360.0,256.0,283.0,185.0,443.0,270.0,533.0,264.0,278.0,256.0,512.0,424.0,338.0,245.0,342.0,422.0,245.0,534.0,255.0,258.0,358.0,358.0,269.0,530.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
