,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10816.0,11815.0,12643.0,13642.0,14641.0,15640.0,16639.0,17638.0,18442.0,19441.0
Episode reward,0.0,-66.12516367685824,-62.787639202559696,-67.34782769135724,-68.06657367359179,-64.8263837460981,-63.574958093543266,-65.0689915876537,-59.94639524030364,-66.90864810093557,-70.66077016713346,39.59872639154904,-71.50340129843693,38.996766452088224,-80.0517079096456,-63.47002105884795,-43.67051872420611,-40.32714012721852,-25.932011936123438,85.86545105275582,-8.791630607585313
Episode feedback,0.8,0.007014028049084141,0.14829659303777898,0.0150300601051803,0.01603206411219232,0.04709418832956494,0.01703406811920434,0.01803607212621636,0.0100200400701202,0.013026052091156261,0.0060120240420721205,0.0,0.0,0.0012091898413431803,0.0,0.0030060120210360602,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0
total seconds,0.0,49.31084871292114,112.44228553771973,161.6752290725708,210.30998969078064,265.15287494659424,314.26693654060364,364.21286034584045,413.6043345928192,463.3884582519531,511.8045039176941,553.3073823451996,601.1278860569,640.3146245479584,687.3826546669006,734.8785569667816,781.8556704521179,830.3009595870972,878.9609303474426,919.0040149688721,968.929274559021
total minutes,0.0,0.8218474785486857,1.8740380922953288,2.694587151209513,3.505166494846344,4.419214582443237,5.237782275676727,6.070214339097341,6.893405576546987,7.723140970865885,8.530075065294902,9.221789705753327,10.018798100948334,10.67191040913264,11.456377577781677,12.24797594944636,13.030927840868632,13.838349326451619,14.649348839124043,15.316733582814534,16.14882124265035
cummulative feedback,0.0,7.0,155.0,170.0,186.0,233.0,250.0,268.0,278.0,291.0,297.0,297.0,297.0,298.0,298.0,301.0,301.0,302.0,303.0,303.0,303.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,824.0,998.0,827.0,998.0,998.0,998.0,998.0,998.0,803.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
