,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9437.0,10038.0,10720.0,11317.0,11754.0,12292.0,12625.0,12967.0,13248.0,14047.0,14311.0,14820.0,15181.0,15646.0,15911.0,16375.0,16744.0,17008.0,17273.0,17537.0,17801.0,18177.0,18546.0,18918.0,19280.0,19657.0
Episode reward,0.0,-67.51142408524554,-62.719046167776106,-66.10965655449117,-61.73588431271497,-65.11475776974794,-60.83403776564483,-62.67032474115894,-60.04814560920217,-68.08765049040248,77.49045613253455,66.39929679419402,51.01707129017169,63.22799702259379,80.63540464174895,73.93452280125982,80.986254276614,80.46008539635254,82.03071548895082,58.604895448525916,90.29658178979352,84.73751060910155,88.15577299460463,84.87991405141516,89.7834951462363,86.38517685306203,86.61873624308483,89.98508708257681,89.78361687748927,90.0252701760315,90.19429758947419,85.36508296412292,86.6551284384954,86.21436575541121,87.98435607897888,85.38444832268746
Episode feedback,0.8,0.0060120240420721205,0.1392785569746708,0.056112224392673125,0.06112224442773322,0.012024048084144241,0.0050100200350601,0.013026052091156261,0.02104208414725242,0.0100200400701202,0.009009008988718448,0.004999999991666667,0.007342143895239143,0.006711409384712401,0.0022935779763908763,0.0018621973894558709,0.0,0.0,0.0,0.0012531328305098587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.25137400627136,107.81831169128418,161.82949948310852,216.83583307266235,265.7311370372772,315.0560142993927,365.12860560417175,415.7132568359375,465.3740277290344,488.3093230724335,518.8313431739807,553.2872178554535,583.5788824558258,605.8553977012634,633.3888087272644,650.7801461219788,668.511668920517,683.2647805213928,723.5764136314392,737.494616985321,763.3201537132263,782.2944025993347,806.0141825675964,820.0353007316589,843.9472186565399,862.9993650913239,876.7540457248688,890.5500791072845,904.3561248779297,917.859156370163,936.397403717041,954.3749976158142,972.7390370368958,990.1926634311676,1008.267828464508
total minutes,0.0,0.770856233437856,1.796971861521403,2.697158324718475,3.6139305512110393,4.428852283954621,5.250933571656545,6.085476760069529,6.928554280598958,7.756233795483907,8.13848871787389,8.647189052899678,9.221453630924225,9.726314707597096,10.097589961687724,10.556480145454406,10.846335768699646,11.141861148675282,11.387746342023213,12.05960689385732,12.29157694975535,12.722002561887106,13.038240043322245,13.43356970945994,13.667255012194316,14.065786977609,14.383322751522064,14.612567428747813,14.842501318454742,15.072602081298829,15.297652606169382,15.606623395284016,15.90624996026357,16.212317283948263,16.503211057186128,16.8044638077418
cummulative feedback,0.0,6.0,145.0,201.0,262.0,274.0,279.0,292.0,313.0,323.0,327.0,330.0,335.0,339.0,340.0,341.0,341.0,341.0,341.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,444.0,600.0,681.0,596.0,436.0,537.0,332.0,341.0,280.0,798.0,263.0,508.0,360.0,464.0,264.0,463.0,368.0,263.0,264.0,263.0,263.0,375.0,368.0,371.0,361.0,376.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
