,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,733.0,1088.0,1559.0,1832.0,2361.0,3114.0,3386.0,3739.0,4176.0,4798.0,5324.0,5811.0,6643.0,7549.0,8224.0,9223.0,10222.0,11018.0,11744.0,12743.0,13742.0,14741.0,15740.0,16739.0,17738.0,18298.0,19297.0,20296.0
Episode reward,0.0,63.27616991403404,83.27127938661965,77.4089608430503,86.22152046912797,76.10610701345865,64.69167625832239,86.31313437820918,84.9107987459914,83.32162337072953,76.94618792969734,74.53133750551672,85.8983800265511,73.15470968942981,76.94604927404426,80.89133896811124,-22.192013987678962,-23.389201235970766,74.33680961004072,81.04961537066352,-21.402949373870133,-35.691361574405704,-23.52178808551958,-28.489052651137033,-23.664710324804062,-25.149660002622525,88.6612642140859,-20.53395921606347,-25.531554369364418
Episode feedback,0.8,0.34746921977090395,0.2711864399119027,0.255319148392938,0.22426470505785034,0.21969696928087695,0.12234042536922816,0.12546125414958947,0.13352272689340133,0.10321100893758943,0.08373590968802591,0.05904761893514739,0.07613168708614879,0.051744885617635517,0.048618784476664324,0.026706231414382445,0.012024048084144241,0.00400801602804808,0.005031446534551639,0.004137931028775268,0.00200400801402404,0.00400801602804808,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,49.344592332839966,73.50774621963501,104.66600203514099,123.03634667396545,159.77868938446045,204.82032775878906,221.52423477172852,242.42039799690247,267.484445810318,301.81923937797546,330.4186158180237,357.0867302417755,400.34268593788147,446.86975955963135,481.0354597568512,530.4131438732147,579.3168239593506,618.4694221019745,654.6761000156403,704.1937074661255,753.3247785568237,801.9933016300201,850.8704624176025,899.5369775295258,948.6945292949677,977.0293374061584,1026.1721222400665,1076.478698015213
total minutes,0.0,0.8224098722139994,1.2251291036605836,1.7444333672523498,2.0506057778994244,2.662978156407674,3.413672129313151,3.6920705795288087,4.040339966615041,4.458074096838633,5.030320656299591,5.506976930300395,5.951445504029592,6.672378098964691,7.4478293259938555,8.017257662614186,8.840219064553578,9.65528039932251,10.307823701699574,10.911268333594004,11.736561791102092,12.555412975947062,13.366555027167003,14.181174373626709,14.99228295882543,15.811575488249462,16.28382229010264,17.102868704001107,17.941311633586885
cummulative feedback,0.0,254.0,350.0,470.0,531.0,647.0,739.0,773.0,820.0,865.0,917.0,948.0,985.0,1028.0,1072.0,1090.0,1102.0,1106.0,1110.0,1113.0,1115.0,1119.0,1119.0,1120.0,1121.0,1121.0,1121.0,1121.0,1121.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,731.0,354.0,470.0,272.0,528.0,752.0,271.0,352.0,436.0,621.0,525.0,486.0,831.0,905.0,674.0,998.0,998.0,795.0,725.0,998.0,998.0,998.0,998.0,998.0,998.0,559.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
