,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.8755655913458114,-3.572247976020504,-4.044653657383408,-4.208557956322052
Episode feedback,0.8,0.20408162848813005,0.16326530279050402,0.24489795418575605,0.20408162848813005
total seconds,0.0,2.337367296218872,5.5436389446258545,9.639591455459595,13.646250247955322
total minutes,0.0,0.03895612160364787,0.09239398241043091,0.16065985759099324,0.2274375041325887
cummulative feedback,0.0,10.0,18.0,30.0,40.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.1,0.1,0.1,0.1,0.1
buffer size,1012.0,1012.0,1012.0,1012.0,1012.0
human model,1.0,1.0,1.0,1.0,1.0
