,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,466.0,917.0,1916.0,2527.0,2986.0,3240.0,3788.0,4256.0,4611.0,5610.0,6177.0,6488.0,7487.0,7970.0,8969.0,9286.0,9873.0,10578.0,11224.0,11959.0,12842.0,13230.0,13868.0,14644.0,15595.0,16079.0,17035.0,17822.0,18552.0,19183.0,20025.0
Episode reward,0.0,78.02490729920771,79.49235443327649,-50.83806409575136,71.03079843437962,78.17260045800144,86.76536150362865,72.64504162304418,78.95149290461032,82.95416673864236,-41.76168710521985,80.39380230173902,89.45870580482399,-30.0618513151129,83.20540836432362,-35.52071725033237,88.34171525083079,80.18948234251056,74.04320038155625,83.95105994565081,71.52548411364737,66.48847277518665,85.34190803078836,84.33947505471029,79.03071024779351,71.03360568178545,87.76648686855081,64.79151902570577,76.97172278483262,76.26170243809325,81.7373628267529,74.52013959009
Episode feedback,0.8,0.38577586123755203,0.3066666659851852,0.20641282544447612,0.15573770466272507,0.13973799096127076,0.11462450547579248,0.12614259574745412,0.08779443236018322,0.07344632747614031,0.05911823641370918,0.053003533475258775,0.03225806441207076,0.035070140245420704,0.012448132754256986,0.01603206411219232,0.015822784760054477,0.008532423193630677,0.007102272717184272,0.004651162783486569,0.004087193454922079,0.004535147387148359,0.007751937964465276,0.0015698587102513993,0.001290322578980229,0.0021052631556786705,0.0,0.002094240835503413,0.0,0.0,0.0,0.0
total seconds,0.0,30.615728855133057,61.06768274307251,121.82150340080261,158.34821820259094,185.38446497917175,200.54483771324158,231.9342589378357,257.6198272705078,277.06018233299255,329.9340867996216,360.18163561820984,376.8678686618805,428.22802996635437,453.09454917907715,503.60310316085815,520.3307247161865,550.5716488361359,586.8928809165955,620.139847278595,657.0339958667755,700.9663002490997,721.1222405433655,753.5190505981445,792.0463752746582,838.7045135498047,862.9725959300995,910.0001966953278,948.3288073539734,984.1739106178284,1015.6252794265747,1056.9782950878143
total minutes,0.0,0.510262147585551,1.0177947123845419,2.030358390013377,2.6391369700431824,3.0897410829861958,3.3424139618873596,3.8655709822972617,4.293663787841797,4.617669705549876,5.498901446660359,6.003027260303497,6.281131144364675,7.137133832772573,7.551575819651286,8.39338505268097,8.672178745269775,9.176194147268932,9.781548015276591,10.335664121309916,10.950566597779591,11.68277167081833,12.01870400905609,12.55865084330241,13.200772921244303,13.97840855916341,14.382876598834992,15.166669944922129,15.805480122566223,16.40289851029714,16.92708799044291,17.61630491813024
cummulative feedback,0.0,179.0,317.0,523.0,618.0,682.0,711.0,780.0,821.0,847.0,906.0,936.0,946.0,981.0,987.0,1003.0,1008.0,1013.0,1018.0,1021.0,1024.0,1028.0,1031.0,1032.0,1033.0,1035.0,1035.0,1037.0,1037.0,1037.0,1037.0,1037.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,464.0,450.0,998.0,610.0,458.0,253.0,547.0,467.0,354.0,998.0,566.0,310.0,998.0,482.0,998.0,316.0,586.0,704.0,645.0,734.0,882.0,387.0,637.0,775.0,950.0,483.0,955.0,786.0,729.0,630.0,841.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
