,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Accumulated time steps,0.0,453.0,1452.0,2451.0,3042.0,3561.0,4137.0,4683.0,4944.0,5208.0,5594.0,6135.0,6493.0,7130.0,7602.0,7966.0,8319.0,8694.0,9073.0,9715.0,10079.0,10347.0,10903.0,11444.0,11712.0,11982.0,12538.0,13090.0,13365.0,14089.0,14562.0,14993.0,15363.0,15636.0,16029.0,16302.0,16704.0,17269.0
Episode reward,0.0,78.68777506541812,-70.56329481281095,-58.505568622742395,65.15293885222525,63.893409769457165,65.54720515170409,70.68774516413751,88.64817998587894,85.90519530044553,74.73371086534836,68.75260194132385,79.68979525549794,57.0222711058094,79.67644651492019,80.37958792737882,81.31563928483678,84.02200877543211,85.70142235667718,60.438214173261635,82.02223471170592,86.28112196449477,72.66708047299683,67.84196969133552,84.31768049524611,83.61104777902713,66.6420461784284,66.99829872085097,83.0605005054401,56.273964006338865,76.93037102094999,75.10734146986752,82.26054059776312,86.1775059539942,79.19068727541256,86.47866951643068,78.19069829399722,73.11096888931979
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,20.782302141189575,67.71184754371643,114.59127807617188,142.8849000930786,167.36780047416687,194.6134192943573,220.54221153259277,233.51990699768066,246.6669089794159,265.3762471675873,291.47973585128784,308.84851336479187,338.9027030467987,361.50484704971313,379.2174050807953,396.4751467704773,414.67250299453735,433.1189036369324,463.3061146736145,481.06613302230835,494.42325019836426,520.7459814548492,546.7166495323181,560.066575050354,573.4646992683411,600.099974155426,626.5055682659149,640.2353005409241,674.2885937690735,696.9923014640808,717.842530965805,736.0103266239166,749.5322313308716,768.4161939620972,781.8481316566467,801.2186470031738,828.162264585495
total minutes,0.0,0.34637170235315956,1.1285307923952739,1.9098546346028646,2.3814150015513103,2.7894633412361145,3.2435569882392885,3.675703525543213,3.8919984499613443,4.111115149656931,4.422937452793121,4.857995597521464,5.1474752227465315,5.648378384113312,6.025080784161886,6.320290084679922,6.607919112841288,6.911208383242289,7.218648393948873,7.721768577893575,8.01776888370514,8.24038750330607,8.679099690914153,9.11194415887197,9.3344429175059,9.557744987805684,10.001666235923768,10.441759471098582,10.670588342348735,11.238143229484558,11.61653835773468,11.964042182763418,12.266838777065278,12.492203855514527,12.806936566034953,13.030802194277445,13.353644116719563,13.80270440975825
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,451.0,998.0,998.0,590.0,518.0,575.0,545.0,260.0,263.0,385.0,540.0,357.0,636.0,471.0,363.0,352.0,374.0,378.0,641.0,363.0,267.0,555.0,540.0,267.0,269.0,555.0,551.0,274.0,723.0,472.0,430.0,369.0,272.0,392.0,272.0,401.0,564.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
