,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4716.0,5715.0,6367.0,6933.0,7755.0,8754.0,9639.0,10427.0,11315.0,11745.0,12356.0,12962.0,13446.0,13811.0,14266.0,14629.0,15201.0,15691.0,15982.0,16368.0,16844.0,17231.0,17709.0,18283.0
Episode reward,0.0,-63.220789046898304,-55.916904087557874,-59.01165501625909,-69.11071196188345,58.74680393761855,-75.00730601135473,52.97754418711385,69.5508563434625,43.55096100182618,-44.749980636224656,55.32842052836026,77.58884183685541,41.70753433926498,82.75049153441608,82.9230351306868,79.03424142542515,78.16476052990348,78.19308783766544,73.01040529200489,78.4904534444965,75.38945805841254,77.11688931110454,85.70959010669573,81.60899095725404,79.00292495952388,81.46523302894454,78.65366760880367,75.0255012757107
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.86083197593689,82.8682632446289,125.0149929523468,167.2977316379547,197.88274455070496,239.787611246109,267.72319889068604,291.87022280693054,326.3764317035675,367.74537658691406,404.63317704200745,437.8607313632965,475.2991716861725,494.02640652656555,519.9437026977539,545.832328081131,567.2462100982666,583.8291630744934,604.0696568489075,619.8090665340424,644.193993806839,3689.08500289917,3702.3679687976837,3719.520322084427,3741.184607744217,3758.9354560375214,3780.377372264862,3805.4180262088776
total minutes,0.0,0.6810138662656148,1.3811377207438151,2.0835832158724465,2.7882955272992453,3.298045742511749,3.99646018743515,4.462053314844767,4.864503713448842,5.439607195059458,6.129089609781901,6.743886284033457,7.297678856054942,7.9216528614362085,8.233773442109426,8.6657283782959,9.09720546801885,9.454103501637777,9.730486051241558,10.067827614148458,10.330151108900706,10.736566563447317,61.4847500483195,61.70613281329473,61.992005368073784,62.353076795736946,62.648924267292024,63.0062895377477,63.42363377014796
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,718.0,998.0,651.0,565.0,821.0,998.0,884.0,787.0,887.0,429.0,610.0,605.0,483.0,364.0,454.0,362.0,571.0,489.0,290.0,385.0,475.0,386.0,477.0,573.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
